Craigslist URL,Neighborhood,City,State,date,Status,1bed_ratio,1bed_diff,2bed_ratio,2bed_diff,3bed_ratio,3bed_diff,4bed_ratio,4bed_diff,5bed_ratio,5bed_diff,6bed_ratio,6bed_diff
washingtondc,,Dumfries,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0.697,534.0,0,0,0,0
washingtondc,,Alexandria,VA,'2016-12-15',UPDATED,1.091,-138.0,1.319,-586.0,1.594,-1281.0,2.16,-2378.0,0,0,0,0
washingtondc,,Annandale,VA,'2016-12-15',UPDATED,0.78,321.0,0.956,73.0,1.187,-367.0,1.17,-424.0,0,0,0,0
washingtondc,,Arlington,VA,'2016-12-15',UPDATED,1.374,-643.0,1.192,-459.0,1.66,-1585.0,1.33,-1122.0,0,0,0,0
washingtondc,,Ashburn,VA,'2016-12-15',UPDATED,0,0,1.174,-280.0,1.036,-76.0,1.473,-993.0,0,0,0,0
washingtondc,,Bailey's Crossroads,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Broadlands,VA,'2016-12-15',UPDATED,0,0,0,0,1.147,-290.0,0,0,0,0,0,0
washingtondc,,Bull Run,VA,'2016-12-15',UPDATED,0,0,0.892,154.0,0,0,0,0,0,0,0,0
washingtondc,,Burke,VA,'2016-12-15',UPDATED,0,0,0,0,1.184,-341.0,0,0,0,0,0,0
washingtondc,,Burke Centre,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Cascades,VA,'2016-12-15',UPDATED,0,0,1.008,-14.0,0,0,0,0,0,0,0,0
washingtondc,,Centreville,VA,'2016-12-15',UPDATED,0.944,78.0,1.146,-206.0,1.146,-248.0,1.347,-666.0,0,0,0,0
washingtondc,,Chantilly,VA,'2016-12-15',UPDATED,0,0,0.975,42.0,1.102,-202.0,1.345,-794.0,0,0,0,0
washingtondc,,Cherry Hill,VA,'2016-12-15',UPDATED,0,0,0.762,447.0,0,0,0,0,0,0,0,0
washingtondc,,Countryside,VA,'2016-12-15',UPDATED,0,0,0.918,129.0,0,0,0,0,0,0,0,0
washingtondc,,Culpeper,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Dale City,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Fair Oaks,VA,'2016-12-15',UPDATED,0.978,33.0,1.078,-142.0,1.279,-594.0,1.859,-1589.0,0,0,0,0
washingtondc,,Fairfax,VA,'2016-12-15',UPDATED,0.83,253.0,0.859,249.0,1.278,-556.0,1.306,-672.0,1.736,-1563.0,0,0
washingtondc,,Fairfax Station,VA,'2016-12-15',UPDATED,0,0,0,0,1.11,-216.0,0,0,0,0,0,0
washingtondc,,Falls Church,VA,'2016-12-15',UPDATED,0.894,186.0,1.828,-1564.0,1.641,-1539.0,1.587,-1672.0,2.276,-3731.0,0,0
washingtondc,,Franconia,VA,'2016-12-15',UPDATED,0,0,1.231,-369.0,0,0,0,0,0,0,0,0
washingtondc,,Gainesville,VA,'2016-12-15',UPDATED,0,0,0,0,0.984,32.0,0,0,0,0,0,0
washingtondc,,Great Falls,VA,'2016-12-15',UPDATED,0,0,0,0,1.74,-1720.0,0,0,0,0,0,0
washingtondc,,Groveton,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Herndon,VA,'2016-12-15',UPDATED,0.915,131.0,0.857,247.0,1.016,-31.0,1.272,-602.0,0,0,0,0
washingtondc,,Huntington,VA,'2016-12-15',UPDATED,1.312,-468.0,1.245,-439.0,0,0,0,0,0,0,0,0
washingtondc,,Kingstowne,VA,'2016-12-15',UPDATED,0.966,54.0,1.189,-336.0,1.185,-425.0,0,0,0,0,0,0
washingtondc,,Lake Ridge,VA,'2016-12-15',UPDATED,0,0,0.894,155.0,0,0,1.185,-333.0,0,0,0,0
washingtondc,,Lansdowne,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Leesburg,VA,'2016-12-15',UPDATED,0.94,82.0,0.747,399.0,0.997,5.5,1.599,-988.0,0,0,0,0
washingtondc,,Lincolnia,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Lorton,VA,'2016-12-15',UPDATED,0,0,0.589,649.0,0.978,47.0,0,0,0,0,0,0
washingtondc,,Lowes Island,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Manassas,VA,'2016-12-15',UPDATED,0,0,0.898,139.0,0.744,485.0,1.053,-101.0,0,0,0,0
washingtondc,,Manassas Park,VA,'2016-12-15',UPDATED,0,0,1.015,-21.0,0,0,0.928,133.5,0,0,0,0
washingtondc,,McLean,VA,'2016-12-15',UPDATED,0,0,1.449,-974.0,1.37,-1026.0,1.573,-1792.0,0,0,0,0
washingtondc,,McNair,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Merrifield,VA,'2016-12-15',UPDATED,0.994,12.0,1.332,-650.0,0,0,0,0,0,0,0,0
washingtondc,,Montclair,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Mount Vernon,VA,'2016-12-15',UPDATED,0,0,0.437,1475.0,0.612,1513.0,0,0,0,0,0,0
washingtondc,,Neabsco,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Newington,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Newington Forest,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Oakton,VA,'2016-12-15',UPDATED,1.033,-47.0,1.278,-443.0,1.351,-727.0,0,0,0,0,0,0
washingtondc,,Reston,VA,'2016-12-15',UPDATED,1.168,-254.0,1.187,-301.0,1.194,-380.0,1.604,-1117.0,0,0,0,0
washingtondc,,South Riding,VA,'2016-12-15',UPDATED,0,0,0,0,1.181,-349.0,0,0,0,0,0,0
washingtondc,,Springfield,VA,'2016-12-15',UPDATED,0.909,121.0,1.292,-486.0,1.279,-536.0,0,0,0,0,0,0
washingtondc,,Sterling,VA,'2016-12-15',UPDATED,0,0,1.014,-22.0,0.96,78.0,1.151,-286.0,0,0,0,0
washingtondc,,Sudley,VA,'2016-12-15',UPDATED,0,0,1.023,-31.0,0,0,0,0,0,0,0,0
washingtondc,,Sugarland Run,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Tysons Corner,VA,'2016-12-15',UPDATED,1.238,-355.0,1.439,-763.0,1.663,-1428.0,1.803,-1983.0,0,0,0,0
washingtondc,,Vienna,VA,'2016-12-15',UPDATED,0,0,0.995,9.0,1.542,-1176.0,1.421,-1147.0,2.051,-3678.0,0,0
washingtondc,,Wakefield,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,West Falls Church,VA,'2016-12-15',UPDATED,0.952,84.0,0,0,0,0,0,0,0,0,0,0
washingtondc,,West Springfield,VA,'2016-12-15',UPDATED,0.778,321.0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Wolf Trap,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Woodbridge,VA,'2016-12-15',UPDATED,0,0,1.509,-787.0,1.399,-614.5,1.07,-125.0,1.467,-1073.0,0,0
washingtondc,,Woodlawn,VA,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,Woodridge - Fort Lincoln,Washington,DC,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,Woodley Park,Washington,DC,'2016-12-15',UPDATED,1.28,-555.0,1.446,-1357.0,0,0,0,0,0,0,0,0
washingtondc,West End,Washington,DC,'2016-12-15',UPDATED,1.5,-1012.0,2.045,-3075.0,4.214,-7160.0,0,0,0,0,0,0
washingtondc,Wesley Heights,Washington,DC,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,Washington Highlands,Washington,DC,'2016-12-15',UPDATED,0,0,0.377,1239.0,0,0,0,0,0,0,0,0
washingtondc,Truxton Circle,Washington,DC,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,Trinidad,Washington,DC,'2016-12-15',UPDATED,1.776,-931.0,0,0,0,0,0.007,551199.0,0,0,0,0
washingtondc,Tenleytown,Washington,DC,'2016-12-15',UPDATED,1.638,-1180.5,0,0,0,0,0,0,0,0,0,0
washingtondc,Takoma,Washington,DC,'2016-12-15',UPDATED,1.694,-743.0,1.901,-1261.0,1.532,-986.0,0,0,0,0,0,0
washingtondc,Shepherd Park,Washington,DC,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,River_Terrace - Lily_Ponds - Mayfair,Washington,DC,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,Randle Highlands,Washington,DC,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,Queens Chapel,Washington,DC,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,Petworth,Washington,DC,'2016-12-15',UPDATED,1.361,-575.0,1.368,-902.0,1.337,-960.0,0,0,0,0,0,0
washingtondc,Penn Quarter,Washington,DC,'2016-12-15',UPDATED,1.245,-601.0,0,0,0,0,0,0,0,0,0,0
washingtondc,North Cleveland Park,Washington,DC,'2016-12-15',UPDATED,1.307,-522.0,0,0,0,0,0,0,0,0,0,0
washingtondc,NoMa,Washington,DC,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,Near Northeast,Washington,DC,'2016-12-15',UPDATED,0,0,0,0,0,0,0,0,0,0,0,0
