Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
washingtondc,,Washington,DC,20002,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.394,-670,1.37,-850,1.213,-599,1.458,-1384,6.206,-4946,1.09,-631,1.372,-632,1.207,-476,1.556,-1561,0,0,0,0,0,0,1.568,-966,1.428,-984,1.188,-529,1.441,-1334,5.444,-4222,1.09,-631,2.866,-3172,1.369,-849,1.229,-643,1.458,-1384,10.947,-9450,0,0
washingtondc,,Washington,DC,20003,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',1.193,-367,1.325,-901,1.451,-1487,0,0,0,0,0,0,1.193,-367,1.34,-944,2.031,-3403,0,0,0,0,0,0,0,0,1.325,-901,1.467,-1541,0,0,0,0,0,0,0,0,1.119,-331,1.22,-727,0,0,0,0,0,0
washingtondc,,Washington,DC,20004,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',1.284,-654,1.18,-645,0,0,0,0,0,0,0,0,1.289,-664,1.18,-645,0,0,0,0,0,0,0,0,1.189,-434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20006,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20007,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',1.286,-508,1.566,-1583,11.46,-6391,2.123,-3565,0,0,0,0,1.281,-498,1.449,-1256,10.265,-5661,0,0,0,0,0,0,3.503,-4442,1.837,-2343,11.76,-6574,2.243,-3947,0,0,0,0,0,0,1.444,-1244,12.142,-6808,1.663,-2106,0,0,0,0
washingtondc,,Washington,DC,20008,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',1.311,-576,1.361,-1060,2.304,-3913,1.724,-3184,0,0,0,0,1.318,-589,1.273,-803,2.475,-4426,0,0,0,0,0,0,1.298,-552,1.913,-2685,2.004,-3013,1.807,-3549,0,0,0,0,0,0,0,0,0,0,1.53,-2332,0,0,0,0
washingtondc,,Washington,DC,20009,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',1.417,-809,1.487,-1363,2.826,-3665,1.837,-3348,1.157,-1018,1.787,-4326,1.415,-806,1.472,-1323,0,0,3.452,-9809,0,0,0,0,1.668,-1297,1.509,-1427,3.13,-4274,1.837,-3348,1.091,-594,1.787,-4326,1.12,-234,1.737,-2065,2.732,-3476,1.575,-2302,1.217,-1413,0,0
washingtondc,,Washington,DC,20010,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.222,-389,1.962,-1876,1.295,-964,1.199,-737,1.045,-225,0,0,1.222,-389,1.92,-1793,0.926,241,0,0,0,0,0,0,0,0,2.048,-2043,1.305,-998,1.199,-737,1.045,-225,0,0,0,0,2.136,-2215,1.396,-1298,0,0,0,0,0,0
washingtondc,,Washington,DC,20011,Successful,'2017-01-13',Successful,'2017-01-14',||,'2017-01-14',1.15,-203,1.215,-499,1.077,-214,1.171,-598,0,0,0.943,219,1.15,-203,1.094,-218,1.41,-1146,0,0,0,0,0,0,0,0,1.411,-953,1.038,-105,1.171,-598,0,0,0.943,219,0,0,0,0,1.092,-257,1.179,-626,0,0,0,0
washingtondc,,Washington,DC,20012,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0.941,92,1.119,-250,1.559,-1035,1.602,-1504,0,0,0,0,0.941,92,1.092,-193,0,0,0,0,0,0,0,0,0,0,1.315,-662,1.563,-1041,1.602,-1504,0,0,0,0,0,0,1.396,-831,1.534,-988,0,0,0,0,0,0
