Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
washingtondc,,Dumfries,VA,,Successful,'2016-12-24',Successful,'2016-12-20',||,'2016-12-24',0,0,0.63,494,0.669,541,0.714,493,0,0,0,0,0,0,0,0,0.973,44,0,0,0,0,0,0,0,0,0,0,0.847,250,0.919,140,0,0,0,0,0,0,0.63,494,0.64,589,0.591,705,0,0,0,0
washingtondc,,Alexandria,VA,,Successful,'2016-12-24',Successful,'2016-12-20',||,'2016-12-24',1.099,-148,1.44,-781,1.554,-1223,2.029,-2228,1.728,-2292,0,0,1.077,-115,1.299,-530,1.314,-693,0,0,0,0,0,0,1.148,-220,1.673,-1194,1.562,-1240,1.97,-2101,1.728,-2292,0,0,0,0,1.855,-1516,1.578,-1276,2.126,-2438,0,0,0,0
washingtondc,,Annandale,VA,,Successful,'2016-12-24',Successful,'2016-12-20',||,'2016-12-24',0.78,321,0.998,3,1.089,-193,1.688,-1186,1.401,-1164,0,0,0.78,321,0.989,18,0.758,523,1.027,-47,0,0,0,0,0,0,1.165,-260,1.15,-324,1.753,-1299,1.401,-1164,0,0,0,0,0,0,1.073,-159,1.359,-620,0,0,0,0
washingtondc,,Arlington,VA,,Successful,'2016-12-24',Successful,'2016-12-20',||,'2016-12-24',1.321,-526,1.229,-533,1.616,-1519,1.268,-985,2.275,-3720,5.15,-7470,1.412,-675,1.228,-531,1.933,-2300,0,0,0,0,0,0,1.109,-178,1.16,-373,1.553,-1363,1.275,-1011,2.275,-3720,5.15,-7470,1.105,-173,1.243,-566,1.627,-1547,1.005,-19,0,0,0,0
washingtondc,,Ashburn,VA,,Successful,'2016-12-24',Successful,'2016-12-20',||,'2016-12-24',0.895,143,1.19,-304,1.047,-98,1.406,-894,5.791,-2913,0,0,0.895,143,1.236,-379,0.553,939,0,0,0,0,0,0,0,0,1.49,-785,1.301,-633,1.465,-1022,5.791,-2913,0,0,0,0,1.11,-177,1.023,-48,1.101,-222,0,0,0,0
washingtondc,,Bailey's Crossroads,VA,,Successful,'2016-12-24',Successful,'2016-12-20',||,'2016-12-24',1.054,-76,0.935,137,0,0,0,0,0,0,0,0,1.053,-74,0.937,133,0,0,0,0,0,0,0,0,1.312,-437,0.882,249,0,0,0,0,0,0,0,0,0,0,1.479,-1008,0,0,0,0,0,0,0,0
washingtondc,,Broadlands,VA,,Successful,'2016-12-24',Successful,'2016-12-20',||,'2016-12-24',0,0,2.255,-1107,1.16,-312,0,0,0,0,0,0,0,0,0,0,1.233,-455,0,0,0,0,0,0,0,0,0,0,1.285,-555,0,0,0,0,0,0,0,0,2.255,-1107,1.154,-300,0,0,0,0,0,0
washingtondc,,Bull Run,VA,,Successful,'2016-12-24',Successful,'2016-12-20',||,'2016-12-24',0.583,548,0.891,158,1.926,-729,0.896,194,0,0,0,0,0.583,548,0.85,217,1.595,-468,0,0,0,0,0,0,0,0,0,0,1.665,-523,0.659,635,0,0,0,0,0,0,1.031,-45,1.931,-733,0.898,190,0,0,0,0
washingtondc,,Burke,VA,,Successful,'2016-12-24',Successful,'2016-12-20',||,'2016-12-24',0,0,0.918,136,1.066,-135,2.626,-1951,2.852,-2373,0,0,0,0,0.894,177,0,0,0,0,0,0,0,0,0,0,0,0,1.241,-496,2.694,-2033,2.852,-2373,0,0,0,0,1.117,-194,1.042,-87,1.94,-1128,0,0,0,0
washingtondc,,Burke Centre,VA,,Successful,'2016-12-24',Successful,'2016-12-20',||,'2016-12-24',0,0,0,0,0,0,2.603,-1923,2.099,-1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.737,-2084,2.099,-1924,0,0,0,0,0,0,0,0,1.771,-925,0,0,0,0
