Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
baltimore,,Baltimore,MD,21207,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0,0,0.424,1001,1.202,-197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827,165,0,0,0,0,0,0,0,0,0,0,0.38,1054,0,0,0,0,0,0
baltimore,,Baltimore,MD,21201,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,1.839,-692,2.792,-448,0,0,0,0,0,0,0,0,1.875,-722,0,0,0,0,0,0,0,0,0,0,0,0,5.492,-1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baltimore,,Baltimore,MD,21202,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0.742,444,1.115,-184,0.474,1492,0,0,0.429,1257,0,0,0.742,444,2.04,-1092,0,0,0,0,0,0,0,0,0,0,0,0,0.358,867,0,0,0.539,265,0,0,0,0,0.979,34,0.952,71,0,0,0.717,623,0,0
baltimore,,Baltimore,MD,21204,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baltimore,,Baltimore,MD,21205,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0,0,0.269,329,0.459,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571,106,0,0,0,0,0,0,0,0,0,0,0.145,513,0.169,409,0,0,0,0
baltimore,,Baltimore,MD,21206,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,1.226,-79,0.509,583,0.966,37,1.486,-304,0,0,0,0,0,0,0,0,0,0,1.808,-214,0,0,0,0,1.103,-36,1.231,-127,0.966,37,2.883,-678,0,0,0,0,0,0,0.365,754,0,0,0,0,0,0
baltimore,,Baltimore,MD,21208,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,1.968,-626,0,0,1.022,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567,-367,0,0,1.045,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baltimore,,Baltimore,MD,21209,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0.912,119,1.535,-522,1.716,-801,0,0,0,0,0,0,0.955,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.415,-464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baltimore,,Baltimore,MD,21210,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baltimore,,Baltimore,MD,21211,Successful,'2017-02-08',Successful,'2017-02-04',||,'2017-02-08',0,0,0.648,507,0,0,0,0,0,0,0,0,0,0,0.366,618,0,0,0,0,0,0,0,0,0,0,2.75,-665,0,0,0,0,0,0,0,0,0,0,1.546,-299,0,0,0,0,0,0,0,0
