Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
miami,,Miami,FL,33137,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.726,507,0.848,396,1.038,-126,4.788,-6439,0,0,0,0,0.726,507,0.856,383,1.183,-540,0,0,0,0,0,0,0,0,1.895,-894,0.825,599,4.422,-5818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33144,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0,0,1.051,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33138,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.494,809,3.221,-1110,0.837,604,1.283,-877,0,0,0,0,0.494,809,0,0,0,0,0,0,0,0,0,0,0,0,4.668,-1834,0.837,604,1.283,-877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33142,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0,0,0.487,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33143,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.603,516,0.797,305,1.407,-977,1.931,-2793,0,0,0,0,0.603,516,0.797,305,1.425,-882,0,0,0,0,0,0,0,0,0,0,3.533,-2532,1.931,-2793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33145,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.641,674,0.817,367,1.343,-685,0.991,22,0,0,0,0,0.641,674,0.817,367,0,0,0,0,0,0,0,0,0,0,0.79,462,1.268,-536,0.956,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33147,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0,0,1.216,-173,0.649,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33153,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
miami,,Miami,FL,33146,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0,0,1.165,-636,1.027,-149,0,0,0,0,0,0,0,0,5.413,-7719,0,0,0,0,0,0,0,0,0,0,1.103,-412,1.027,-149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33150,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.344,590,0.252,1759,0.439,981,0.628,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,1759,0.361,1485,0.675,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33151,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
miami,,Miami,FL,33152,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
miami,,Miami,FL,33155,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.907,154,0.884,261,0,0,1.15,-276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,304,0.894,238,0,0,0.848,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33156,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0.604,664,0.829,292,1.266,-637,1.559,-1622,0,0,0,0,0.604,664,0.805,330,1.105,-245,0,0,0,0,0,0,0,0,0,0,1.368,-919,1.559,-1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33157,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0,0,0.77,461,1.33,-644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773,455,1.33,-644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33158,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0,0,1.828,-1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.042,-2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33161,Successful,'2017-02-08',Successful,'2017-02-06',||,'2017-02-08',0,0,0.5,800,0.771,502,1.124,-247,0,0,0,0,0,0,0.588,526,0.272,1055,0,0,0,0,0,0,0,0,0.735,437,0.788,465,1.124,-247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,,Miami,FL,33159,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
miami,,Miami,FL,33163,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
miami,,Miami,FL,33164,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
