Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
richmond,,Glen Allen,VA,23060,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',0,0,0,0,1.268,-302,1.016,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.132,-148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23173,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
richmond,,Richmond,VA,23218,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
richmond,,Richmond,VA,23219,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23220,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',1.044,-35,0.865,161,1.525,-621,1.037,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.525,-621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23221,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23222,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',0,0,0.618,248,0.789,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598,270,0.789,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23223,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',0,0,0,0,1.198,-158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.205,-163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23224,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',0,0,0.328,533,0.664,287,0.545,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311,576,0.499,439,0.721,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23225,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',0,0,1.057,-50,1.053,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.173,-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23226,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',0,0,2.872,-1492,1.352,-387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.595,-474,1.341,-375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Henrico,VA,23227,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',0,0,0.532,372,0.854,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Henrico,VA,23228,Successful,'2017-02-08',Successful,'2017-02-07',||,'2017-02-08',0,0,0.847,142,0.825,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.062,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Henrico,VA,23229,Successful,'2017-02-08',Successful,'2017-02-08',||,'2017-02-08',0,0,1.19,-180,1.173,-190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,-137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Henrico,VA,23230,Successful,'2017-02-08',Successful,'2017-02-08',||,'2017-02-08',0,0,1.373,-283,1.439,-395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.439,-395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Henrico,VA,23231,Successful,'2017-02-08',Successful,'2017-02-08',||,'2017-02-08',0,0,1.892,-664,0.918,78,0.758,336,0,0,0,0,0,0,2.054,-838,0,0,0,0,0,0,0,0,0,0,0,0,0.918,78,0.758,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richmond,,Richmond,VA,23232,Successful,'2017-02-08',FAILED,'2017-02-08',,,,,,,,,,,,,
