Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
washingtondc,,Woodbridge,VA,22193,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',0,0,0,0,0.979,31,0.853,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,204,0,0,0,0,0,0,0,0,0.881,178,0,0,0,0,0,0
washingtondc,,Washington,DC,20001,Successful,'2017-03-04',Successful,'2017-02-27',||,'2017-03-04',1.46,-955,1.313,-939,1.3,-1050,0,0,10.132,-4840,0,0,1.46,-955,1.407,-1180,0,0,0,0,0,0,0,0,0,0,0,0,1.298,-1043,0,0,10.132,-4840,0,0,0,0,1.302,-890,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20002,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',1.37,-657,1.252,-598,1.045,-140,7.365,-3501,6.535,-3736,0,0,1.361,-631,1.457,-868,0,0,0,0,0,0,0,0,1.033,-65,1.361,-865,1.026,-79,7.6,-3630,6.535,-3736,0,0,0,0,0,0,0.926,215,0,0,0,0,0,0
washingtondc,,Washington,DC,20003,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',1.328,-621,1.185,-533,1.328,-1193,0,0,0,0,0,0,1.328,-621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995,21,0,0,0,0,0,0
washingtondc,,Washington,DC,20004,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20006,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20007,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',1.008,-16,0,0,1.78,-3198,0,0,0,0,0,0,0.984,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.649,-6442,0,0,0,0,0,0,0,0,0,0,1.952,-3619,0,0,0,0,0,0
washingtondc,,Washington,DC,20008,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',1.26,-493,0,0,11.861,-6777,1.646,-2842,0,0,0,0,1.24,-456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.824,-7378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20009,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',1.231,-501,1.309,-974,0,0,2.119,-4029,0.885,981,0,0,1.248,-532,1.265,-836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20010,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',1.504,-827,1.261,-797,1.645,-1773,0,0,0,0,0,0,1.504,-827,1.2,-610,0,0,0,0,0,0,0,0,0,0,0,0,5.559,-3729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Washington,DC,20011,Successful,'2017-03-04',Successful,'2017-03-01',||,'2017-03-04',0,0,1.56,-1035,1.061,-174,1.203,-694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.094,-1510,1.232,-773,0,0,0,0,0,0,0,0,1.262,-726,0,0,0,0,0,0
