City,State,Zip Code,1 Bedroom,2 Bedroom,3 Bedroom,4 Bedroom,5 Bedroom,6 Bedroom
Washington,DC,20001,-1088,-1074,0,0,0,0
Washington,DC,20002,-570,-1833,0,0,0,0
Washington,DC,20003,-285,-1682,0,0,0,0
Washington,DC,20004,0,0,0,0,0,0
Washington,DC,20006,0,0,0,0,0,0
Washington,DC,20007,-117,0,0,0,0,0
Washington,DC,20008,-448,-805,0,0,0,0
Washington,DC,20009,-492,-680,0,0,0,0
Washington,DC,20010,-1769,-410,0,0,0,0
Washington,DC,20011,0,0,0,0,0,0
Washington,DC,20012,0,0,0,0,0,0
Washington,DC,20015,0,0,0,0,0,0
Washington,DC,20016,-415,0,0,0,0,0
Washington,DC,20017,0,0,0,0,0,0
Washington,DC,20018,0,0,0,0,0,0
Washington,DC,20019,0,0,0,0,0,0
Washington,DC,20019,0,0,0,0,0,0
Washington,DC,20020,0,0,0,0,0,0
Washington,DC,20024,-661,0,0,0,0,0
Washington,DC,20032,0,0,0,0,0,0
Washington,DC,20036,0,0,0,0,0,0
Washington,DC,20037,0,0,0,0,0,0
Washington,DC,20052,0,0,0,0,0,0
Washington,DC,20245,0,0,0,0,0,0
Washington,DC,20722,0,0,0,0,0,0
Bethesda,MD,20816,0,0,0,0,0,0
Bethesda,MD,20817,0,0,0,0,0,0
Bladensburg,MD,20710,0,0,0,0,0,0
Brentwood,MD,20722,0,0,0,0,0,0
Capitol Heights,MD,20743,0,0,0,0,0,0
Chevy Chase,MD,20815,0,-2010,0,0,0,0
College Park,MD,20740,0,0,0,0,0,0
District Heights,MD,20747,0,0,0,0,0,0
Fort Washington,MD,20744,0,0,0,0,0,0
Hyattsville,MD,20781,0,-349,0,0,0,0
Hyattsville,MD,20782,0,0,0,0,0,0
Hyattsville,MD,20783,0,0,0,0,0,0
Hyattsville,MD,20785,0,0,0,0,0,0
Kensington,MD,20895,0,0,0,0,0,0
Mount Rainier,MD,20712,0,0,0,0,0,0
Oxon Hill,MD,20745,0,0,0,0,0,0
Rockville,MD,20850,0,0,0,0,0,0
Rockville,MD,20852,-397,-461,0,0,0,0
Rockville,MD,20853,0,0,0,0,0,0
Silver Spring,MD,20901,0,0,0,0,0,0
Silver Spring,MD,20903,0,0,0,0,0,0
Silver Spring,MD,20904,0,0,0,0,0,0
Silver Spring,MD,20906,0,0,0,0,0,0
Silver Spring,MD,20910,0,0,0,0,0,0
Suitland,MD,20746,0,0,0,0,0,0
Takoma Park,MD,20912,0,0,0,0,0,0
Temple Hills,MD,20748,0,0,0,0,0,0
Waldorf,MD,20601,0,0,0,0,0,0
Aldie,VA,20105,0,0,0,0,0,0
Alexandria,VA,22301,-588,0,0,0,0,0
Alexandria,VA,22302,0,0,0,0,0,0
Alexandria,VA,22303,0,-610,0,0,0,0
Alexandria,VA,22304,-84,-264,0,0,0,0
Alexandria,VA,22305,0,0,0,0,0,0
Alexandria,VA,22306,0,0,0,0,0,0
Alexandria,VA,22307,0,-17,0,0,0,0
Alexandria,VA,22308,0,0,0,0,0,0
Alexandria,VA,22309,0,0,0,0,0,0
Alexandria,VA,22310,0,0,0,0,0,0
Alexandria,VA,22311,0,0,0,0,0,0
Alexandria,VA,22312,0,-864,0,0,0,0
Alexandria,VA,22314,-282,0,0,0,0,0
Alexandria,VA,22315,0,-92,0,0,0,0
Annandale,VA,22003,13,0,0,0,0,0
Arlington,VA,22201,-560,0,0,0,0,0
Arlington,VA,22202,0,0,0,0,0,0
Arlington,VA,22203,-159,0,0,0,0,0
Arlington,VA,22204,166,-197,0,0,0,0
Arlington,VA,22205,0,0,0,0,0,0
Arlington,VA,22206,0,-512,0,0,0,0
Arlington,VA,22207,0,0,0,0,0,0
