City,State,Zip Code,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
Washington,DC,20001,-1088,1.363,-1074,0,0,0,0,0,0,0,0,9.551,-2779,0,0,1.298,-1043,0,0,19.179,-5090,0,0,0,0,1.396,-1087,0,0,0,0,0,0,0,0
Washington,DC,20002,-570,2.929,-1833,0,0,0,0,0,0,0,0,6.699,-2137,1.366,-878,1.665,-1298,6.699,-3556,6.616,-3791,0,0,0,0,1.362,-836,1.046,-153,0,0,0,0,0,0
Washington,DC,20003,-285,1.963,-1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.104,-380,0,0,0,0,0,0
Washington,DC,20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20007,-117,0,0,0,0,0,0,0,0,0,0,0,0,2.761,-3345,3.229,-5092,0,0,3.071,-6213,0,0,0,0,2.415,-2335,4.372,-5722,0,0,0,0,0,0
Washington,DC,20008,-448,1.329,-805,0,0,0,0,0,0,0,0,0,0,0,0,23.478,-7013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20009,-492,1.206,-680,0,0,0,0,0,0,0,0,0,0,3.354,-2935,0,0,0,0,0.757,2063,0,0,0,0,4.245,-3732,0,0,0,0,0,0,0,0
Washington,DC,20010,-1769,1.127,-410,0,0,0,0,0,0,0,0,0,0,0,0,16.459,-4143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20011,0,0,0,0,0,0,0,0,0,0,0,0,0,3.504,-2316,4.197,-2206,1.201,-686,0,0,0,0,0,0,0,0,2.524,-2114,0,0,0,0,0,0
Washington,DC,20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.116,-3485,1.861,-2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20016,-415,0,0,0,0,0,0,0,0,0,0,0,0,16.512,-3878,2.833,-3529,3.483,-5087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.341,-1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20024,-661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DC,20722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethesda,MD,20816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethesda,MD,20817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.687,-1648,0.953,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladensburg,MD,20710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brentwood,MD,20722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
