date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',985,11,1185,28,1285,23,2300,4,0,0,0,0
'2016-12-16',885,43,1195,80,1470,54,2080,18,1665,6,0,0
'2016-12-17',985,15,1195,41,1302,14,1723,2,2587,4,0,0
'2016-12-19',994,5,997,12,1320,13,1700,3,2595,1,0,0
'2016-12-20',960,36,1200,97,1375,62,1725,18,2375,9,0,0
'2016-12-21',842,12,1220,34,1285,19,1925,3,2595,1,0,0
'2016-12-22',995,21,1195,99,1325,61,2060,14,1900,2,0,0
'2016-12-23',977,20,1200,43,1470,21,1725,3,2595,3,0,0
'2016-12-24',994,10,1327,28,1315,20,1847,9,940,1,0,0
'2016-12-25',1087,4,1000,3,1432,4,1125,3,2822,2,0,0
'2016-12-26',880,1,1270,8,1345,4,2060,5,900,1,2400,1
'2016-12-27',902,4,1075,13,1495,9,1786,8,1705,1,0,0
'2016-12-28',885,15,1208,32,1430,25,1745,8,1635,4,0,0
'2016-12-29',1007,12,1225,49,1305,19,1725,3,1705,3,0,0
