date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',936,8,1055,43,1255,26,1570,14,2150,12,0,0
'2016-12-16',937,2,1055,38,1329,33,1570,11,2000,9,0,0
'2016-12-17',888,9,1055,25,1265,42,1570,10,1997,2,0,0
'2016-12-19',962,4,1055,12,1285,8,1324,2,2150,8,0,0
'2016-12-20',909,10,1099,29,1285,29,1795,15,2125,6,0,0
'2016-12-21',946,6,1055,31,1250,21,1570,17,2150,6,0,0
'2016-12-22',939,4,1055,23,1260,23,1570,14,2350,2,0,0
'2016-12-23',885,6,1055,25,1273,16,1570,14,1795,1,0,0
'2016-12-24',990,3,1055,21,1259,18,1570,13,2000,7,0,0
'2016-12-25',810,2,1055,19,1240,12,1484,6,960,1,0,0
'2016-12-26',695,1,1055,8,1187,4,1400,1,1445,1,1925,1
'2016-12-27',950,3,1055,17,1064,6,1719,6,2000,9,0,0
'2016-12-28',942,10,1055,64,1260,70,1570,42,2150,12,0,0
'2016-12-29',938,10,1055,34,1260,27,1570,8,2000,9,1925,1
'2016-12-30',887,6,1055,28,1260,24,1570,18,2000,9,0,0
'2016-12-31',930,10,1055,28,1260,24,1595,13,1795,3,0,0
