data,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,rent_1_median_c,rent_1_count_c,rent_2_median_c,rent_2_count_c,rent_3_median_c,rent_3_count_c,rent_4_median_c,rent_4_count_c,rent_5_median_c,rent_5_count_c,rent_6_median_c,rent_6_count_c,rent_1_median_h,rent_1_count_h,rent_2_median_h,rent_2_count_h,rent_3_median_h,rent_3_count_h,rent_4_median_h,rent_4_count_h,rent_5_median_h,rent_5_count_h,rent_6_median_h,rent_6_count_h,rent_1_median_th,rent_1_count_th,rent_2_median_th,rent_2_count_th,rent_3_median_th,rent_3_count_th,rent_4_median_th,rent_4_count_th,rent_5_median_th,rent_5_count_th,rent_6_median_th,rent_6_count_th
'2017-01-29',1400,2,1475,64,1950,29,2250,17,4995,1,0,0,1400,2,1475,54,1650,1,0,0,0,0,0,0,0,0,1750,5,1975,24,2250,16,4995,1,0,0,0,0,1700,5,1775,4,1995,1,0,0,0,0
'2017-01-30',0,0,1475,23,2300,9,2450,4,3450,2,0,0,0,0,1475,23,0,0,0,0,0,0,0,0,0,0,0,0,2500,5,2450,4,3450,2,0,0,0,0,0,0,1912,4,0,0,0,0,0,0
'2017-01-31',1325,10,1475,95,1975,48,2262,34,3350,4,0,0,1325,10,1475,86,1699,2,0,0,0,0,0,0,0,0,1737,6,2000,37,2282,30,3350,4,0,0,0,0,1700,3,1700,9,2050,4,0,0,0,0
'2017-02-01',1300,5,1475,53,1950,13,2299,17,2800,4,0,0,1300,5,1475,52,1700,1,0,0,0,0,0,0,0,0,0,0,2000,7,2325,14,2800,4,0,0,0,0,1800,1,1950,5,2200,3,0,0,0,0
'2017-02-02',1400,3,1475,86,1995,47,2250,25,3350,2,0,0,1400,3,1475,74,1650,1,0,0,0,0,0,0,0,0,1737,6,2000,38,2250,23,3350,2,0,0,0,0,1700,6,1850,8,2097,2,0,0,0,0
'2017-02-03',1300,5,1475,57,1850,34,2437,8,3350,4,0,0,1300,5,1475,55,1700,1,0,0,0,0,0,0,0,0,0,0,1850,23,2475,7,3350,4,0,0,0,0,1700,2,1887,10,2200,1,0,0,0,0
'2017-02-05',0,0,1475,89,1850,14,2250,12,4247,2,0,0,0,0,1475,86,1900,1,0,0,0,0,0,0,0,0,0,0,1800,7,2250,11,4247,2,0,0,0,0,1700,3,1850,6,2200,1,0,0,0,0
'2017-02-06',1350,1,1450,4,1850,9,2135,2,3200,4,0,0,1350,1,1450,4,1700,1,0,0,0,0,0,0,0,0,0,0,1875,6,2275,1,3200,4,0,0,0,0,0,0,1887,2,1995,1,0,0,0,0
'2017-02-07',1300,13,1475,106,2050,26,2250,12,3200,4,0,0,1300,12,1475,104,0,0,0,0,0,0,0,0,0,0,0,0,2225,14,2250,11,3200,4,0,0,550,1,1700,2,2025,12,1995,1,0,0,0,0
'2017-02-08',1350,8,1475,83,1912,38,2250,28,3200,5,0,0,1350,8,1475,72,1650,1,0,0,0,0,0,0,0,0,1737,6,2000,29,2250,28,3200,5,0,0,0,0,1700,5,1850,8,0,0,0,0,0,0
