date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1030,60,1095,96,1200,27,1600,7,2125,1,0,0
'2016-12-16',1055,129,1200,129,1597,50,1400,4,0,0,0,0
'2016-12-16',1055,129,1200,129,1597,50,1400,4,0,0,0,0
'2016-12-17',1055,126,1212,165,1602,38,1450,7,1850,3,0,0
'2016-12-19',968,28,1295,23,1615,8,1575,3,925,1,2100,1
'2016-12-20',1067,138,1100,142,1297,66,1700,8,2500,3,0,0
'2016-12-21',1055,114,1200,143,1530,45,0,0,2125,3,0,0
'2016-12-22',1055,131,1270,144,1295,41,1950,3,1575,2,2100,2
'2016-12-23',1060,117,1100,121,1295,57,1425,4,1762,4,0,0
'2016-12-24',1055,95,1100,113,1247,44,0,0,2125,2,0,0
'2016-12-25',1055,105,1270,78,1530,22,0,0,0,0,0,0
