date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1199,63,1479,57,1487,10,1600,1,0,0,0,0
'2016-12-16',1150,120,1414,89,1495,29,950,1,952,2,0,0
'2016-12-17',1017,146,1434,79,1610,30,1600,2,1850,2,0,0
'2016-12-19',1242,12,1510,21,1450,5,0,0,0,0,0,0
'2016-12-20',795,178,975,53,1200,20,1600,1,0,0,0,0
'2016-12-21',1194,104,1384,83,1395,21,0,0,1850,1,0,0
'2016-12-22',1085,104,1325,98,1499,21,1600,1,0,0,0,0
'2016-12-23',1129,115,1234,96,1395,33,1045,1,0,0,0,0
'2016-12-24',1113,97,1209,91,2090,12,0,0,0,0,0,0
'2016-12-25',1049,35,1229,34,1382,8,0,0,0,0,0,0
'2016-12-26',1049,20,1209,20,1395,7,1045,1,1850,1,0,0
'2016-12-27',1034,41,1209,41,1200,5,950,1,0,0,0,0
'2016-12-28',725,199,1229,87,1395,18,1600,1,1850,1,0,0
'2016-12-29',1129,111,1234,107,1375,14,0,0,0,0,0,0
