date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',895,59,905,75,1145,30,1450,17,1162,6,0,0
'2016-12-16',968,70,939,97,987,46,1525,9,740,12,0,0
'2016-12-17',1017,63,905,99,1250,46,1250,21,800,9,0,0
'2016-12-19',883,26,905,19,1309,9,2200,1,1787,2,2100,1
'2016-12-20',968,81,920,99,1194,58,1162,20,650,5,0,0
'2016-12-21',878,84,900,107,1195,59,1525,25,570,9,0,0
'2016-12-22',1040,81,920,100,1162,38,1292,12,600,6,2100,2
'2016-12-23',878,87,905,111,990,40,1595,10,570,7,0,0
'2016-12-24',968,71,955,86,1192,32,1100,9,1525,3,0,0
'2016-12-25',920,21,1252,22,1272,10,650,3,0,0,0,0
'2016-12-26',968,10,905,5,1120,3,1250,2,1850,1,0,0
'2016-12-27',883,19,975,21,1124,17,1367,6,567,4,0,0
'2016-12-28',1070,92,999,102,1157,48,1095,5,1700,7,0,0
