date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',928,43,845,106,875,75,1797,12,2250,1,0,0
'2016-12-16',968,57,899,147,850,73,1200,7,0,0,0,0
'2016-12-17',968,60,825,130,971,78,1597,14,1900,2,1800,1
'2016-12-19',968,20,874,18,950,20,1445,1,0,0,0,0
'2016-12-20',933,74,820,141,987,89,1100,11,0,0,1800,1
'2016-12-21',855,72,845,149,1050,101,1995,20,0,0,0,0
'2016-12-22',968,70,910,152,895,66,1445,9,0,0,0,0
'2016-12-23',883,73,820,130,967,77,1095,6,0,0,0,0
'2016-12-24',899,72,843,109,1050,58,1250,11,0,0,0,0
'2016-12-25',901,14,882,20,1100,7,0,0,0,0,0,0
'2016-12-26',968,10,1120,3,857,4,0,0,0,0,0,0
'2016-12-27',968,15,850,18,987,32,1147,8,0,0,0,0
'2016-12-28',934,86,899,134,1199,81,850,7,0,0,0,0
