date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1189,89,999,144,1250,43,1600,19,1312,4,0,0
'2016-12-16',1152,142,999,175,1200,79,1897,20,1250,15,0,0
'2016-12-17',970,177,999,149,1300,74,1300,21,1250,9,0,0
'2016-12-19',1145,47,935,117,1300,36,1700,7,2650,2,0,0
'2016-12-20',950,198,977,186,1199,69,1507,30,1250,4,0,0
'2016-12-21',1194,120,950,173,1271,52,1500,11,1250,7,0,0
'2016-12-22',1099,120,935,230,1150,69,1750,21,1250,4,0,0
'2016-12-23',1080,143,1100,164,1205,61,1295,14,1250,6,0,0
'2016-12-24',1129,119,1100,132,1250,43,1575,14,1250,6,0,0
'2016-12-25',1034,80,1149,100,1249,39,705,13,540,4,0,0
'2016-12-26',1049,30,1199,31,1395,13,1372,6,1587,2,0,0
'2016-12-27',999,92,1050,125,1200,21,675,12,0,0,0,0
'2016-12-28',875,217,984,198,1297,56,1700,16,1225,10,0,0
'2016-12-29',1099,126,999,191,1209,45,837,8,1287,4,0,0
