date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1565,1,0,0,0,0,0,0,0,0,0,0
'2016-12-16',1180,1,0,0,0,0,0,0,0,0,0,0
'2016-12-17',750,1,852,1,1220,1,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',1257,8,899,6,1220,2,0,0,0,0,0,0
'2016-12-21',1345,3,975,1,0,0,0,0,0,0,0,0
'2016-12-22',1435,2,975,3,1400,2,0,0,0,0,0,0
'2016-12-23',1262,2,0,0,1220,1,0,0,0,0,0,0
'2016-12-24',750,3,875,2,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,1220,2,0,0,0,0,0,0
