date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1099,49,1351,37,1100,21,1487,10,1600,1,0,0
'2016-12-16',1159,27,1139,19,987,10,1700,2,0,0,0,0
'2016-12-17',1055,26,1225,20,1200,11,1525,7,1850,1,0,0
'2016-12-19',925,10,1495,3,1392,2,1700,1,0,0,0,0
'2016-12-20',1096,36,949,23,1194,11,1337,6,0,0,0,0
'2016-12-21',1071,26,1299,22,995,13,1457,2,1725,2,0,0
'2016-12-22',1040,30,1360,26,1120,7,1233,1,0,0,0,0
'2016-12-23',1188,31,1367,22,960,11,1325,3,0,0,0,0
'2016-12-24',1005,29,1339,20,1120,9,772,2,1600,1,0,0
'2016-12-25',920,11,1039,5,1200,3,1226,2,0,0,0,0
'2016-12-26',968,8,1219,2,995,3,1410,2,1935,2,0,0
