date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',977,80,1115,124,1297,44,1630,12,2650,1,0,0
'2016-12-16',949,128,1009,191,1374,70,1370,9,1600,2,0,0
'2016-12-17',1020,129,1019,181,1350,75,1597,26,2000,5,0,0
'2016-12-19',1100,48,1145,97,1340,46,1472,8,2000,3,2100,2
'2016-12-20',1085,116,1090,190,1395,106,1850,17,2795,1,0,0
'2016-12-21',1085,105,1077,192,1292,72,1360,14,1525,2,0,0
'2016-12-22',1000,105,1068,176,1375,81,1310,14,1750,6,2100,2
'2016-12-23',1075,133,1129,145,1300,81,1345,9,1775,3,2020,2
'2016-12-24',1125,88,1062,132,1382,79,1422,8,1750,6,0,0
'2016-12-25',1120,31,1120,39,1350,24,1766,2,1750,1,0,0
