date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',810,24,925,57,1337,30,1500,2,0,0,0,0
'2016-12-16',895,10,925,39,1359,12,2000,7,0,0,0,0
'2016-12-17',952,4,899,34,1369,23,1512,4,1900,1,0,0
'2016-12-19',770,3,999,8,1369,15,1500,1,0,0,0,0
'2016-12-20',810,21,925,49,1372,20,1800,5,0,0,0,0
'2016-12-21',1025,8,854,40,1369,15,0,0,0,0,0,0
'2016-12-22',819,18,937,48,1379,15,1800,4,0,0,0,0
'2016-12-23',835,12,820,29,1312,16,1612,2,0,0,0,0
'2016-12-24',810,17,925,34,1369,7,1800,3,0,0,0,0
'2016-12-25',860,9,999,9,1205,4,0,0,0,0,0,0
'2016-12-26',0,0,800,6,1385,4,1887,4,0,0,0,0
'2016-12-27',0,0,1179,5,1379,12,1775,2,0,0,0,0
'2016-12-28',822,18,912,38,1369,10,1800,4,1184,1,0,0
