data,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,rent_1_median_c,rent_1_count_c,rent_2_median_c,rent_2_count_c,rent_3_median_c,rent_3_count_c,rent_4_median_c,rent_4_count_c,rent_5_median_c,rent_5_count_c,rent_6_median_c,rent_6_count_c,rent_1_median_h,rent_1_count_h,rent_2_median_h,rent_2_count_h,rent_3_median_h,rent_3_count_h,rent_4_median_h,rent_4_count_h,rent_5_median_h,rent_5_count_h,rent_6_median_h,rent_6_count_h,rent_1_median_th,rent_1_count_th,rent_2_median_th,rent_2_count_th,rent_3_median_th,rent_3_count_th,rent_4_median_th,rent_4_count_th,rent_5_median_th,rent_5_count_th,rent_6_median_th,rent_6_count_th
'2017-01-30',0,0,930,1,1150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,1,1150,1,0,0,0,0,0,0
'2017-01-31',0,0,975,3,1215,3,1700,1,2730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,1,1700,1,2730,1,0,0,0,0,975,3,1298,2,0,0,0,0,0,0
'2017-02-01',0,0,825,1,950,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,1,912,2,0,0,0,0,0,0,0,0,0,0,1210,1,0,0,0,0,0,0
'2017-02-02',0,0,0,0,1166,2,0,0,2730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,1,0,0,2730,1,0,0,0,0,0,0,1382,1,0,0,0,0,0,0
'2017-02-03',0,0,985,5,1045,1,0,0,0,0,0,0,0,0,947,2,0,0,0,0,0,0,0,0,0,0,825,1,0,0,0,0,0,0,0,0,0,0,985,2,1045,1,0,0,0,0,0,0
'2017-02-04',0,0,965,5,1050,5,1450,1,2640,2,0,0,0,0,875,1,0,0,0,0,0,0,0,0,0,0,0,0,995,3,1450,1,2640,2,0,0,0,0,965,4,1400,2,0,0,0,0,0,0
'2017-02-05',0,0,947,2,1263,2,1395,1,0,0,0,0,0,0,947,2,0,0,0,0,0,0,0,0,0,0,0,0,1150,1,1395,1,0,0,0,0,0,0,0,0,1376,1,0,0,0,0,0,0
'2017-02-06',0,0,0,0,1230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,1,0,0,0,0,0,0
'2017-02-07',0,0,1045,2,975,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,2,0,0,0,0,0,0,0,0,1045,2,1045,1,0,0,0,0,0,0
'2017-02-08',0,0,950,6,1095,7,1395,2,0,0,0,0,0,0,1000,3,0,0,0,0,0,0,0,0,0,0,0,0,1095,7,1395,2,0,0,0,0,0,0,950,3,0,0,0,0,0,0,0,0
