date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-19',695,3,939,6,1190,4,1400,1,0,0,0,0
'2016-12-20',695,3,995,7,1100,4,0,0,0,0,0,0
'2016-12-23',908,3,905,5,1195,5,0,0,0,0,0,0
'2016-12-24',695,3,905,7,1095,1,1200,1,0,0,0,0
'2016-12-25',0,0,939,1,1350,1,0,0,0,0,0,0
'2016-12-26',0,0,950,1,1050,3,1400,1,0,0,0,0
'2016-12-27',797,2,990,6,1095,3,1775,1,0,0,0,0
'2016-12-28',750,3,960,4,1095,5,1487,2,0,0,0,0
'2016-12-29',797,4,1095,5,1210,6,1400,3,0,0,0,0
'2016-12-30',695,3,1012,6,1030,2,0,0,0,0,0,0
'2016-12-31',898,3,805,4,0,0,0,0,0,0,0,0
