date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',812,2,942,4,1150,1,0,0,1127,1,0,0
'2016-12-16',890,1,915,2,1100,2,0,0,0,0,0,0
'2016-12-17',826,2,915,2,1295,1,0,0,0,0,0,0
'2016-12-19',0,0,970,1,1185,2,0,0,0,0,0,0
'2016-12-20',955,2,915,2,1050,1,0,0,0,0,0,0
'2016-12-21',0,0,915,3,1225,2,0,0,1127,1,0,0
'2016-12-22',822,2,995,4,1299,3,0,0,1394,1,0,0
'2016-12-23',0,0,915,2,1077,2,0,0,0,0,0,0
'2016-12-24',968,2,970,1,1287,1,0,0,0,0,0,0
'2016-12-25',0,0,0,0,1295,1,0,0,1394,1,0,0
