date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',830,1,985,1,725,1,1425,1,0,0,0,0
'2016-12-16',825,1,1075,3,1075,1,0,0,0,0,0,0
'2016-12-17',1787,2,985,3,1075,2,0,0,0,0,0,0
'2016-12-19',0,0,985,1,1075,3,0,0,0,0,0,0
'2016-12-20',1790,2,985,3,0,0,0,0,0,0,0,0
'2016-12-21',940,1,1025,2,1112,2,0,0,0,0,0,0
'2016-12-22',2750,1,975,5,850,1,0,0,0,0,0,0
'2016-12-23',0,0,1172,2,1050,1,0,0,0,0,0,0
'2016-12-24',0,0,975,2,725,1,0,0,0,0,0,0
'2016-12-25',2750,1,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,1050,3,0,0,0,0,0,0
'2016-12-27',820,1,1075,3,725,1,0,0,0,0,0,0
'2016-12-28',1835,2,1122,2,962,2,0,0,0,0,0,0
