date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1000,40,1250,66,1340,8,0,0,3950,2,0,0
'2016-12-16',1000,14,1250,27,1325,4,2295,1,0,0,0,0
'2016-12-17',1000,10,1250,18,1495,3,0,0,0,0,0,0
'2016-12-19',625,3,727,6,1060,3,2295,1,0,0,0,0
'2016-12-20',1000,21,1250,15,1495,3,0,0,0,0,0,0
'2016-12-21',1000,30,1250,42,1276,5,0,0,0,0,0,0
'2016-12-22',1000,21,1220,36,1300,4,0,0,0,0,0,0
'2016-12-23',1000,19,1250,29,1155,3,0,0,0,0,0,0
'2016-12-24',1000,12,1250,21,1157,2,0,0,0,0,0,0
'2016-12-25',1274,1,1409,8,1400,1,0,0,0,0,0,0
'2016-12-26',800,1,925,1,2100,1,0,0,0,0,0,0
'2016-12-27',1000,8,810,10,1167,4,0,0,0,0,0,0
'2016-12-28',1000,23,1250,15,1177,4,2295,1,0,0,0,0
'2016-12-29',1000,20,1250,29,1125,2,0,0,0,0,0,0
