date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',830,3,964,8,1174,4,1425,2,0,0,0,0
'2016-12-16',858,4,1035,14,1067,12,1247,2,1300,1,0,0
'2016-12-17',825,5,1028,14,1109,19,1425,1,2400,1,0,0
'2016-12-19',545,1,985,1,912,4,1295,1,0,0,0,0
'2016-12-20',867,4,1000,13,1025,11,1312,2,1300,1,0,0
'2016-12-21',1043,6,1035,8,1309,6,0,0,0,0,0,0
'2016-12-22',907,3,1095,11,1192,10,1425,1,0,0,0,0
'2016-12-23',907,3,975,13,1037,12,1200,3,1300,1,0,0
'2016-12-24',813,4,1054,20,1487,7,0,0,1140,1,0,0
'2016-12-25',0,0,739,5,0,0,0,0,0,0,0,0
'2016-12-26',0,0,739,1,1175,3,1272,2,0,0,0,0
'2016-12-27',697,2,975,4,1050,7,1200,1,1300,1,0,0
'2016-12-28',812,2,966,5,1072,12,1200,1,0,0,0,0
