date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1150,9,812,5,0,0,1200,1,0,0,0,0
'2016-12-16',1095,3,904,14,1125,2,0,0,0,0,0,0
'2016-12-17',1175,5,1175,10,1095,5,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',1095,18,850,14,800,6,0,0,0,0,0,0
'2016-12-21',910,6,1299,12,1025,2,0,0,0,0,0,0
'2016-12-22',1095,4,1124,10,650,1,0,0,0,0,0,0
'2016-12-23',1095,8,1249,11,800,1,0,0,0,0,0,0
'2016-12-24',1079,7,1350,7,1025,2,1300,2,0,0,0,0
'2016-12-25',1125,2,1425,7,0,0,0,0,0,0,0,0
'2016-12-26',600,1,0,0,0,0,0,0,0,0,0,0
'2016-12-27',725,5,1299,8,800,1,1400,1,0,0,0,0
'2016-12-28',1060,4,1340,11,1100,3,0,0,0,0,0,0
'2016-12-29',650,3,1299,6,950,1,0,0,0,0,0,0
'2016-12-30',910,8,1299,12,1150,2,0,0,1050,1,0,0
'2016-12-31',1095,3,1375,6,1620,1,1200,1,0,0,0,0
'2017-01-06',1125,7,899,7,0,0,0,0,0,0,0,0
'2017-01-07',1095,6,1125,3,1395,3,0,0,0,0,0,0
'2017-01-08',650,5,1337,4,0,0,0,0,0,0,0,0
'2017-01-09',0,0,1374,2,1620,1,0,0,0,0,0,0
'2017-01-10',1095,5,800,9,1100,3,0,0,0,0,0,0
'2017-01-11',1027,4,1324,6,0,0,0,0,1050,1,0,0
