date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1019,55,1220,49,1429,1,0,0,0,0,0,0
'2016-12-16',987,30,1115,22,0,0,0,0,0,0,0,0
'2016-12-17',965,33,1127,26,1429,1,0,0,0,0,0,0
'2016-12-19',955,21,1115,9,1429,1,0,0,0,0,0,0
'2016-12-20',949,37,1105,34,0,0,0,0,0,0,0,0
'2016-12-21',990,43,1244,32,1429,1,0,0,0,0,0,0
'2016-12-22',990,29,1220,34,1600,1,0,0,0,0,0,0
'2016-12-23',1009,30,1295,31,1429,1,0,0,0,0,0,0
'2016-12-24',965,28,1230,26,0,0,0,0,0,0,0,0
'2016-12-25',1009,10,1240,7,0,0,0,0,0,0,0,0
