date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',760,2,790,4,0,0,0,0,0,0,0,0
'2016-12-16',825,1,985,7,1090,1,0,0,0,0,0,0
'2016-12-17',830,2,1040,6,1230,2,1300,2,0,0,0,0
'2016-12-19',675,1,885,2,920,1,0,0,0,0,0,0
'2016-12-20',795,2,985,4,1232,2,0,0,0,0,0,0
'2016-12-21',795,2,860,7,0,0,0,0,0,0,0,0
'2016-12-22',945,2,975,8,0,0,0,0,0,0,0,0
'2016-12-23',795,1,975,7,1110,1,0,0,0,0,0,0
'2016-12-24',910,2,975,5,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,525,2,0,0,0,0,0,0,0,0
'2016-12-27',802,2,975,5,935,1,0,0,0,0,0,0
'2016-12-28',920,1,845,7,1200,1,1300,1,0,0,0,0
'2016-12-29',730,1,1170,3,1015,1,0,0,0,0,0,0
