date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',889,1,727,2,1312,2,1200,1,0,0,0,0
'2016-12-16',662,4,850,7,0,0,0,0,0,0,0,0
'2016-12-17',630,2,625,3,1370,1,0,0,0,0,0,0
'2016-12-19',0,0,800,1,1400,2,0,0,0,0,0,0
'2016-12-20',706,2,637,6,1250,3,0,0,950,1,0,0
'2016-12-21',0,0,874,4,0,0,0,0,0,0,0,0
'2016-12-22',761,2,800,7,1250,1,0,0,0,0,0,0
'2016-12-23',672,2,790,4,1370,1,0,0,0,0,0,0
'2016-12-24',682,2,715,3,1250,3,0,0,0,0,0,0
'2016-12-25',0,0,985,1,0,0,0,0,0,0,0,0
'2016-12-26',0,0,624,2,1370,1,0,0,0,0,0,0
'2016-12-27',550,1,650,2,0,0,0,0,0,0,0,0
'2016-12-28',959,1,749,3,1250,1,0,0,0,0,0,0
'2016-12-29',799,2,699,6,0,0,0,0,0,0,0,0
'2016-12-30',0,0,750,4,1250,1,0,0,0,0,0,0
'2016-12-31',618,2,650,1,1375,1,0,0,0,0,0,0
'2017-01-01',0,0,625,1,0,0,0,0,0,0,0,0
'2017-01-02',0,0,0,0,1250,1,0,0,0,0,0,0
'2017-01-03',0,0,749,3,0,0,0,0,0,0,0,0
'2017-01-04',0,0,678,6,0,0,0,0,0,0,0,0
'2017-01-05',997,1,749,3,1250,1,0,0,0,0,0,0
'2017-01-06',650,3,787,6,0,0,0,0,0,0,0,0
