date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',895,9,1095,3,1275,17,1575,5,1018,1,0,0
'2016-12-16',832,5,1045,6,1287,20,1700,7,0,0,0,0
'2016-12-17',867,10,1095,3,1200,9,1425,5,845,1,0,0
'2016-12-19',650,2,0,0,1411,8,1700,5,0,0,0,0
'2016-12-20',832,10,1040,4,1200,11,1362,2,845,1,0,0
'2016-12-21',867,6,1075,3,1255,15,2245,3,1103,1,0,0
'2016-12-22',832,11,1025,5,1255,17,1425,3,0,0,0,0
'2016-12-23',832,5,1077,6,1237,16,2650,1,0,0,0,0
'2016-12-24',832,8,1080,7,1245,13,1975,2,845,1,0,0
'2016-12-25',0,0,0,0,1014,3,1424,3,0,0,0,0
'2016-12-26',0,0,720,1,1300,5,1550,1,0,0,0,0
'2016-12-27',1026,5,1077,4,1300,13,2650,1,1472,2,0,0
'2016-12-28',832,8,1080,5,1200,12,2037,2,0,0,0,0
'2016-12-29',902,9,915,5,1262,18,2650,1,845,1,0,0
'2016-12-30',832,8,1075,5,1275,17,1872,4,2100,1,0,0
'2016-12-31',867,10,1120,2,1300,14,1449,4,2350,1,0,0
