date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',835,29,870,46,1194,25,1650,2,0,0,0,0
'2016-12-16',675,13,857,24,1194,20,0,0,0,0,0,0
'2016-12-17',835,16,915,19,1253,10,1120,1,0,0,0,0
'2016-12-19',765,2,870,12,1387,4,0,0,0,0,0,0
'2016-12-20',820,18,894,36,1206,17,1385,2,0,0,0,0
'2016-12-21',899,17,855,32,1246,16,1000,1,0,0,0,0
'2016-12-22',841,16,903,31,1255,15,1762,2,0,0,0,0
'2016-12-23',899,17,872,33,1195,16,1120,1,0,0,0,0
'2016-12-24',695,11,883,24,1216,10,0,0,0,0,0,0
'2016-12-25',919,3,792,4,1287,2,0,0,0,0,0,0
'2016-12-26',0,0,0,0,775,3,1357,2,0,0,0,0
'2016-12-27',695,7,885,17,1250,7,1775,1,0,0,0,0
'2016-12-28',899,15,859,30,1195,10,0,0,0,0,0,0
'2016-12-29',790,11,925,23,1195,13,1060,2,0,0,0,0
