date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',889,1,1015,11,0,0,1300,1,0,0,0,0
'2016-12-16',0,0,1015,9,0,0,0,0,0,0,0,0
'2016-12-17',0,0,1015,10,1385,2,1300,1,0,0,0,0
'2016-12-18',0,0,1015,2,1400,1,0,0,0,0,0,0
'2016-12-19',0,0,1015,3,0,0,0,0,0,0,0,0
'2016-12-20',0,0,1015,11,1400,1,0,0,0,0,0,0
'2016-12-21',0,0,1015,8,1400,1,0,0,0,0,0,0
'2016-12-22',993,2,1100,7,0,0,0,0,0,0,0,0
'2016-12-23',0,0,1185,5,1400,1,0,0,0,0,0,0
'2016-12-24',1090,1,1020,7,1400,1,0,0,0,0,0,0
'2016-12-25',0,0,1020,3,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',0,0,1170,4,0,0,0,0,0,0,0,0
'2016-12-28',0,0,1020,11,0,0,0,0,0,0,0,0
'2016-12-29',948,1,1100,8,0,0,0,0,0,0,0,0
'2016-12-30',0,0,1100,9,0,0,0,0,0,0,0,0
'2016-12-31',600,1,1100,12,0,0,0,0,0,0,0,0
'2017-01-01',1170,1,1100,13,0,0,0,0,0,0,0,0
'2017-01-02',0,0,1100,3,0,0,0,0,0,0,0,0
'2017-01-03',840,2,970,1,0,0,0,0,0,0,0,0
'2017-01-04',0,0,1100,4,0,0,0,0,0,0,0,0
'2017-01-05',997,1,1020,5,0,0,0,0,0,0,0,0
'2017-01-06',0,0,1020,6,1400,1,0,0,0,0,0,0
