date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,1137,2,1720,2,0,0,0,0,0,0
'2016-12-16',950,3,700,1,0,0,0,0,0,0,0,0
'2016-12-17',899,1,1075,1,1720,2,0,0,0,0,0,0
'2016-12-18',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-19',0,0,700,2,1720,4,0,0,0,0,0,0
'2016-12-20',937,2,0,0,0,0,0,0,0,0,0,0
'2016-12-21',959,1,0,0,0,0,0,0,0,0,0,0
'2016-12-22',695,3,700,3,1720,2,0,0,0,0,0,0
'2016-12-23',959,1,0,0,0,0,0,0,0,0,0,0
'2016-12-24',0,0,0,0,1720,2,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
