date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,0,0,900,1,0,0,0,0,0,0
'2016-12-16',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-17',810,4,940,4,0,0,0,0,0,0,0,0
'2016-12-18',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',805,2,1000,6,0,0,0,0,0,0,0,0
'2016-12-21',805,1,1000,3,0,0,0,0,0,0,0,0
'2016-12-22',0,0,965,2,0,0,0,0,0,0,0,0
'2016-12-23',805,1,0,0,0,0,0,0,0,0,0,0
'2016-12-24',0,0,1000,3,0,0,0,0,0,0,0,0
