date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1025,15,1295,15,1399,1,1200,1,1018,1,0,0
'2016-12-16',1025,17,1221,14,795,3,1000,1,0,0,0,0
'2016-12-17',1025,16,1272,14,0,0,1900,1,845,1,0,0
'2016-12-18',999,3,1074,4,1475,1,0,0,0,0,0,0
'2016-12-19',999,3,912,2,1237,2,0,0,0,0,0,0
'2016-12-20',967,20,1196,18,0,0,1000,1,845,1,0,0
'2016-12-21',1012,12,1249,17,1442,2,0,0,1103,1,0,0
'2016-12-22',984,13,900,11,1475,1,0,0,0,0,0,0
'2016-12-23',974,8,1295,13,1000,3,1150,2,0,0,0,0
'2016-12-24',992,8,1142,7,0,0,1000,1,845,1,0,0
'2016-12-25',1299,2,0,0,0,0,0,0,0,0,0,0
'2016-12-26',999,2,0,0,1147,1,0,0,0,0,0,0
'2016-12-27',990,1,549,4,985,1,1000,1,845,1,0,0
'2016-12-28',999,21,1032,14,1105,1,1000,1,0,0,0,0
