date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',592,1,850,1,895,1,0,0,0,0,0,0
'2016-12-16',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-17',0,0,850,2,895,2,0,0,0,0,0,0
'2016-12-18',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',670,2,699,6,895,2,0,0,0,0,0,0
'2016-12-21',0,0,699,2,0,0,0,0,0,0,0,0
'2016-12-22',670,1,0,0,0,0,0,0,0,0,0,0
'2016-12-23',670,1,0,0,895,1,0,0,0,0,0,0
'2016-12-24',670,1,850,2,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,895,2,0,0,0,0,0,0
'2016-12-27',655,2,0,0,0,0,0,0,0,0,0,0
'2016-12-28',725,1,840,1,0,0,0,0,0,0,0,0
'2016-12-29',670,1,850,1,0,0,0,0,0,0,0,0
'2016-12-30',0,0,845,1,0,0,0,0,0,0,0,0
'2016-12-31',670,1,850,1,0,0,0,0,0,0,0,0
'2017-01-01',670,1,0,0,0,0,0,0,0,0,0,0
'2017-01-02',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-03',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-04',670,2,850,2,0,0,0,0,0,0,0,0
'2017-01-05',670,1,0,0,950,1,0,0,0,0,0,0
'2017-01-06',670,1,824,2,0,0,0,0,0,0,0,0
