date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',812,3,972,22,1214,9,1300,7,1127,1,0,0
'2016-12-16',890,7,1015,11,1125,14,948,2,0,0,0,0
'2016-12-17',840,1,1015,13,1295,12,1350,8,1925,1,0,0
'2016-12-19',705,3,910,4,1175,5,0,0,0,0,0,0
'2016-12-20',868,4,1012,12,1175,16,1350,6,0,0,0,0
'2016-12-21',844,3,1015,13,1295,7,1295,7,1526,2,0,0
'2016-12-22',796,4,915,13,1295,11,1250,3,0,0,0,0
'2016-12-23',869,3,982,10,1175,15,1222,6,0,0,0,0
'2016-12-24',968,3,1012,6,1100,7,1250,3,1140,1,0,0
'2016-12-25',0,0,0,0,1295,5,0,0,0,0,0,0
'2016-12-26',0,0,0,0,1362,4,1425,2,0,0,0,0
'2016-12-27',906,2,1000,7,1250,17,1220,4,1127,1,0,0
'2016-12-28',770,3,915,10,1250,11,1185,8,0,0,0,0
'2016-12-29',819,4,1050,10,1235,10,1295,6,1363,2,0,0
