date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',930,205,998,272,1130,80,1262,18,2257,2,0,0
'2016-12-16',950,203,980,321,1090,73,1322,16,565,3,0,0
'2016-12-17',930,199,999,281,1100,87,895,13,640,8,0,0
'2016-12-19',930,86,939,97,1085,45,1299,7,0,0,0,0
'2016-12-20',930,231,965,305,1117,86,872,12,845,4,0,0
'2016-12-21',925,243,995,321,1150,73,750,11,1103,2,0,0
'2016-12-22',920,234,1025,327,1195,87,1600,6,745,6,0,0
'2016-12-23',935,248,1062,290,1152,68,1399,12,665,1,0,0
'2016-12-24',925,166,1087,262,1061,73,1375,16,747,2,0,0
'2016-12-25',930,90,1105,104,1074,23,1945,4,690,5,0,0
'2016-12-26',940,33,1075,36,1120,12,1175,2,0,0,0,0
'2016-12-27',920,112,950,153,1150,45,1450,20,650,3,2990,2
'2016-12-28',939,220,1050,307,1100,70,752,16,620,7,0,0
