date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1150,16,1437,6,0,0,0,0,0,0,0,0
'2016-12-16',1090,12,1375,5,1295,1,0,0,0,0,0,0
'2016-12-17',1149,13,1204,3,0,0,0,0,0,0,0,0
'2016-12-18',1095,5,1250,4,0,0,0,0,0,0,0,0
'2016-12-19',825,3,0,0,1295,1,0,0,0,0,0,0
'2016-12-20',1095,19,1340,11,0,0,0,0,0,0,0,0
'2016-12-21',1095,19,1350,7,1495,1,0,0,0,0,0,0
'2016-12-22',1095,14,1350,9,0,0,0,0,0,0,0,0
'2016-12-23',1095,20,1362,8,0,0,0,0,0,0,0,0
'2016-12-24',1125,7,1350,9,0,0,0,0,0,0,0,0
'2016-12-25',1125,2,1400,4,0,0,0,0,0,0,0,0
