date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',999,4,1499,5,0,0,0,0,0,0,0,0
'2016-12-16',1025,5,1300,3,0,0,0,0,0,0,0,0
'2016-12-17',1065,7,1204,3,0,0,0,0,0,0,0,0
'2016-12-18',1219,1,0,0,0,0,0,0,0,0,0,0
'2016-12-19',972,2,0,0,0,0,0,0,0,0,0,0
'2016-12-20',1099,6,1201,8,0,0,0,0,0,0,0,0
'2016-12-21',1012,10,1272,2,0,0,0,0,0,0,0,0
'2016-12-22',949,8,1204,3,0,0,0,0,0,0,0,0
'2016-12-23',994,14,1204,1,0,0,0,0,0,0,0,0
'2016-12-24',1139,6,1272,4,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',1250,4,0,0,0,0,0,0,0,0,0,0
'2016-12-27',1199,1,1269,2,0,0,0,0,0,0,0,0
'2016-12-28',942,8,1319,6,0,0,0,0,0,0,0,0
'2016-12-29',895,7,1519,2,0,0,0,0,0,0,0,0
'2016-12-30',949,8,1199,5,0,0,0,0,0,0,0,0
'2016-12-31',999,7,1392,4,0,0,0,0,0,0,0,0
'2017-01-01',1159,4,0,0,0,0,0,0,0,0,0,0
'2017-01-02',1219,1,0,0,0,0,0,0,0,0,0,0
'2017-01-03',990,3,1775,1,0,0,0,0,0,0,0,0
'2017-01-04',942,6,1439,2,0,0,0,0,0,0,0,0
'2017-01-05',1025,9,1199,4,0,0,0,0,0,0,0,0
'2017-01-06',999,8,1544,3,0,0,0,0,0,0,0,0
