date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',639,3,805,3,861,3,0,0,0,0,0,0
'2016-12-16',688,3,868,4,882,4,0,0,0,0,0,0
'2016-12-17',679,2,770,2,950,3,0,0,0,0,0,0
'2016-12-18',799,3,863,4,1103,4,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',639,8,800,8,868,8,0,0,0,0,0,0
'2016-12-21',639,4,761,4,868,4,0,0,0,0,0,0
'2016-12-22',639,3,715,3,874,4,0,0,0,0,0,0
'2016-12-23',654,2,783,1,887,4,0,0,0,0,0,0
'2016-12-24',639,3,715,2,874,5,0,0,0,0,0,0
