date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1000,36,1235,66,1177,6,1495,3,0,0,0,0
'2016-12-16',1000,66,1250,113,1375,25,1995,3,0,0,0,0
'2016-12-17',1000,33,1250,46,1256,13,1812,2,0,0,0,0
'2016-12-18',995,11,1220,33,1200,5,1562,2,0,0,0,0
'2016-12-19',967,4,1195,13,1087,6,2045,2,0,0,0,0
'2016-12-20',1000,79,1250,106,1228,22,1725,3,0,0,0,0
'2016-12-21',1000,92,1250,119,1244,16,1725,2,0,0,0,0
'2016-12-22',1000,71,1263,133,1253,14,1795,2,0,0,0,0
'2016-12-23',1000,76,1250,105,1325,21,1725,2,0,0,0,0
'2016-12-24',974,30,1286,52,1238,7,2302,2,0,0,0,0
'2016-12-25',1009,6,1311,13,0,0,1995,1,0,0,0,0
'2016-12-26',700,4,1050,7,1173,10,1725,1,0,0,0,0
'2016-12-27',1000,13,989,21,1335,8,2302,2,0,0,0,0
'2016-12-28',1000,89,1250,93,1253,31,2587,8,0,0,0,0
'2016-12-29',1000,75,1250,109,1140,16,2100,6,0,0,0,0
'2016-12-30',1000,32,1250,57,1412,8,1725,1,0,0,0,0
'2016-12-31',1000,96,1164,80,1375,18,2880,6,0,0,0,0
'2017-01-01',1015,21,1244,28,1160,7,0,0,0,0,0,0
'2017-01-02',700,5,1209,10,1450,1,2010,2,0,0,0,0
'2017-01-03',1000,12,1135,18,1850,13,2880,2,0,0,0,0
'2017-01-04',1000,27,1272,54,1157,10,0,0,0,0,0,0
'2017-01-05',1023,95,1250,99,1450,15,1900,5,0,0,0,0
'2017-01-06',1000,37,1265,45,1219,6,1662,2,0,0,0,0
'2017-01-07',1000,87,1241,93,1260,18,2880,6,0,0,0,0
'2017-01-08',977,12,1300,18,1300,5,1725,1,0,0,0,0
'2017-01-09',800,7,1120,17,1230,6,1662,4,0,0,0,0
'2017-01-10',1000,38,1250,42,1200,12,0,0,0,0,0,0
'2017-01-11',1000,50,1250,58,1206,8,1725,1,0,0,0,0
