date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',634,2,663,12,866,2,0,0,0,0,0,0
'2016-12-16',626,1,694,12,874,1,0,0,0,0,0,0
'2016-12-17',673,1,694,10,894,4,0,0,0,0,0,0
'2016-12-18',665,2,694,9,912,3,0,0,0,0,0,0
'2016-12-19',658,1,738,3,910,3,0,0,0,0,0,0
'2016-12-20',658,1,0,0,907,1,0,0,0,0,0,0
'2016-12-21',634,2,698,4,904,1,0,0,0,0,0,0
'2016-12-22',658,3,694,5,892,2,0,0,0,0,0,0
'2016-12-23',606,3,694,3,909,1,0,0,0,0,0,0
'2016-12-24',0,0,770,1,973,1,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
