data,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count,rent_1_median_c,rent_1_count_c,rent_2_median_c,rent_2_count_c,rent_3_median_c,rent_3_count_c,rent_4_median_c,rent_4_count_c,rent_5_median_c,rent_5_count_c,rent_6_median_c,rent_6_count_c,rent_1_median_h,rent_1_count_h,rent_2_median_h,rent_2_count_h,rent_3_median_h,rent_3_count_h,rent_4_median_h,rent_4_count_h,rent_5_median_h,rent_5_count_h,rent_6_median_h,rent_6_count_h,rent_1_median_th,rent_1_count_th,rent_2_median_th,rent_2_count_th,rent_3_median_th,rent_3_count_th,rent_4_median_th,rent_4_count_th,rent_5_median_th,rent_5_count_th,rent_6_median_th,rent_6_count_th
'2017-01-30',0,0,3875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-01',0,0,2600,1,0,0,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,1,0,0,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-02',2450,3,3625,4,4000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450,3,3625,4,4000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-03',0,0,3897,2,0,0,5800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3897,2,0,0,5800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-04',2450,2,3522,2,3695,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450,2,3522,2,3695,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-05',1280,1,2950,6,3700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,1,2950,6,3700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-06',0,0,2950,3,4625,2,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950,3,4625,2,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-07',2450,3,3650,5,3922,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450,3,3650,5,3922,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-08',1280,2,3000,1,3750,1,5800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,2,3000,1,3750,1,5800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-09',0,0,3650,1,3990,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3650,1,3990,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-10',1200,5,0,0,0,0,5650,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,5,0,0,0,0,5650,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-11',1800,2,2995,1,3990,6,4800,1,0,0,0,0,2400,1,0,0,0,0,0,0,0,0,0,0,1200,1,2995,1,3990,6,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-12',2095,3,3200,2,3350,1,0,0,0,0,0,0,0,0,2900,1,0,0,0,0,0,0,0,0,2095,3,3500,1,3350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-13',1200,4,0,0,3980,1,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,4,0,0,3980,1,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-14',1180,3,3000,3,3595,1,0,0,0,0,0,0,0,0,2000,1,0,0,0,0,0,0,0,0,1180,3,3197,2,3595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-15',1225,2,3995,2,3750,1,4650,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,2,3995,2,3750,1,4650,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-16',1180,3,3500,1,3787,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,3,3500,1,3787,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-17',0,0,4995,1,3500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4995,1,3500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-18',1180,3,2600,3,3750,3,4650,2,0,0,0,0,0,0,2000,1,0,0,0,0,0,0,0,0,1180,3,2797,2,3750,3,4650,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-20',1600,3,4197,2,4500,1,0,0,0,0,0,0,2150,1,0,0,0,0,0,0,0,0,0,0,1400,2,4197,2,4500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-22',1180,4,3500,5,3747,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,4,3500,5,3747,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-26',1180,2,2600,1,3545,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,2,2600,1,3545,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-27',0,0,4247,2,4500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4247,2,4500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-28',1175,2,4747,2,3895,5,4800,1,0,0,0,0,0,0,6000,1,0,0,0,0,0,0,0,0,1175,2,3495,1,3895,5,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-01',1180,2,2995,3,3600,3,4000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,2,2995,3,3600,3,4000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-02',880,3,0,0,4022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,3,0,0,4022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-04',1180,3,3900,3,4250,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,3,3900,3,4250,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-05',2200,1,2600,1,3600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,1,2600,1,3600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-06',1315,4,4995,1,4799,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315,4,4995,1,4799,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-07',750,1,3495,5,3750,3,0,0,6995,1,0,0,0,0,4800,2,0,0,0,0,0,0,0,0,750,1,3400,3,3750,3,0,0,6995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-08',1315,4,4995,1,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,3,4995,1,4800,1,0,0,0,0,0,0,2200,1,0,0,0,0,0,0,0,0,0,0
'2017-03-09',1725,2,3395,1,4640,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725,2,3395,1,4640,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-10',750,1,2600,1,3750,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,1,2600,1,3750,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-11',1450,3,3500,5,4800,3,4250,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,3,3500,5,4800,3,4250,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-12',0,0,3450,2,4849,2,0,0,6995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3450,2,4849,2,0,0,6995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-13',1450,3,3700,4,4349,2,4400,1,5200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,3,3700,4,4349,2,4400,1,5200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
