date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-16',2800,18,4300,10,5825,4,7097,2,0,0,0,0
'2016-12-17',2972,24,3900,15,8495,1,7795,2,0,0,0,0
'2016-12-19',2895,15,3797,4,7950,2,1500,1,0,0,0,0
'2016-12-20',2750,14,3995,22,3700,2,7795,3,0,0,0,0
'2016-12-21',2995,21,4495,17,5647,4,7795,4,0,0,0,0
'2016-12-22',2925,15,4250,14,7800,1,4647,2,0,0,0,0
'2016-12-23',2500,17,3947,10,6525,4,4647,2,0,0,0,0
'2016-12-24',3000,11,4100,16,7400,2,7795,4,0,0,0,0
'2016-12-25',2800,11,5500,7,0,0,0,0,0,0,0,0
'2016-12-26',2360,10,4197,6,7225,4,0,0,0,0,0,0
'2016-12-27',2995,8,3900,11,8074,2,4647,2,0,0,0,0
'2016-12-28',2625,25,3995,10,9500,4,7795,4,0,0,6495,1
'2016-12-29',2722,16,4350,16,5550,3,7795,4,0,0,0,0
'2016-12-30',2895,21,3647,12,10950,1,1650,3,0,0,0,0
'2016-12-31',2850,21,4200,11,6847,2,7795,3,0,0,0,0
