date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-16',2672,52,3575,44,7250,6,4822,4,0,0,0,0
'2016-12-17',2564,27,4245,34,6570,5,0,0,0,0,0,0
'2016-12-19',2703,22,2850,16,7500,1,1500,1,0,0,0,0
'2016-12-20',2675,38,3850,39,6910,8,1500,1,0,0,0,0
'2016-12-21',2101,24,3195,24,3450,1,4822,6,0,0,0,0
'2016-12-22',2550,41,4271,31,6570,7,1500,1,0,0,0,0
'2016-12-23',2627,30,2995,33,5337,4,4650,3,0,0,0,0
'2016-12-24',2595,36,3750,32,5393,4,0,0,0,0,0,0
'2016-12-25',2025,8,2457,12,7250,2,0,0,0,0,0,0
'2016-12-26',2522,6,4300,4,6570,3,0,0,0,0,0,0
'2016-12-27',2650,37,3850,16,4400,7,3100,2,0,0,0,0
'2016-12-28',2650,37,3445,28,3450,5,0,0,8800,1,0,0
'2016-12-29',2847,32,3730,26,4308,6,4750,2,0,0,0,0
'2016-12-30',2700,45,3595,31,3062,4,1650,3,0,0,0,0
'2016-12-31',2554,35,2995,31,7000,4,4650,1,0,0,0,0
