date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-16',2995,51,4200,27,7500,5,7347,2,0,0,0,0
'2016-12-17',2947,144,3862,48,8410,21,7795,6,14995,7,0,0
'2016-12-19',3150,47,3912,14,4950,3,6247,2,7700,1,0,0
'2016-12-20',2995,99,4100,74,7500,16,7147,8,14995,5,0,0
'2016-12-21',2995,124,3899,62,8495,9,7795,8,0,0,0,0
'2016-12-22',2900,55,4195,29,7800,7,7197,2,7700,5,0,0
'2016-12-23',2900,39,4375,14,8495,7,7142,4,7700,1,0,0
'2016-12-24',3195,69,4097,76,8452,16,7795,10,7700,2,0,0
'2016-12-25',2867,26,4500,7,0,0,6500,3,7700,3,0,0
'2016-12-26',2975,16,4297,6,8410,7,6500,1,7700,1,0,0
