date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-16',2850,7,3950,14,5985,3,8950,7,0,0,0,0
'2016-12-17',3085,20,4000,25,5950,17,10425,2,0,0,0,0
'2016-12-19',3007,14,3795,17,5200,5,10000,7,0,0,0,0
'2016-12-20',3280,22,4200,25,5750,13,7900,3,0,0,0,0
'2016-12-21',2824,6,4400,11,5750,13,8950,7,12500,1,0,0
'2016-12-22',2825,9,3900,23,5950,13,9475,4,0,0,0,0
'2016-12-23',3000,17,4274,8,5500,7,9247,4,0,0,0,0
'2016-12-24',3237,10,4000,13,5675,3,9725,4,0,0,0,0
'2016-12-25',3280,7,4425,4,0,0,0,0,0,0,0,0
'2016-12-26',3137,4,4725,4,5100,3,12950,1,0,0,0,0
'2016-12-27',2850,13,4500,17,5587,14,0,0,0,0,0,0
'2016-12-28',3190,10,3900,15,5950,8,9725,6,0,0,0,0
