date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-16',3425,48,4400,37,5000,12,7500,4,0,0,0,0
'2016-12-17',3100,35,4499,23,5650,17,3400,1,14995,2,0,0
'2016-12-19',3420,24,4995,13,6490,4,0,0,0,0,0,0
'2016-12-20',2995,43,4900,39,5500,11,7500,3,14995,3,0,0
'2016-12-21',2995,42,4544,22,5200,7,3400,1,0,0,0,0
'2016-12-22',3200,45,4445,30,7780,8,5450,3,14995,3,0,0
'2016-12-23',3435,27,4900,19,7780,9,19700,2,0,0,0,0
'2016-12-24',3050,41,4499,17,5200,11,3400,1,0,0,0,0
'2016-12-25',3435,14,4500,15,7640,4,0,0,0,0,0,0
'2016-12-26',3047,6,3900,13,7369,4,5250,1,0,0,0,0
'2016-12-27',3250,40,4350,30,6295,8,4700,1,14995,2,0,0
'2016-12-28',3062,46,4399,21,7042,14,5450,3,10000,1,6495,1
'2016-12-29',2792,40,4495,25,5500,9,0,0,14995,2,0,0
