date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-16',1861,28,2600,62,2350,36,2750,9,15000,1,0,0
'2016-12-17',2300,65,3100,69,3850,73,3445,12,0,0,0,0
'2016-12-19',2447,16,2995,37,3025,12,4900,1,0,0,0,0
'2016-12-20',2250,69,2725,97,3995,71,4500,13,11840,4,0,0
'2016-12-21',2202,70,3095,62,1985,51,2850,14,6750,4,0,0
'2016-12-22',2300,62,3095,78,3300,60,15000,2,0,0,0,0
'2016-12-23',2113,62,2800,64,3100,71,3300,15,6750,4,0,0
'2016-12-24',2146,24,2850,31,1865,23,3330,2,2475,1,0,0
'2016-12-25',2301,14,2922,20,2200,9,2025,2,0,0,0,0
'2016-12-26',2795,7,2850,21,3900,11,4875,2,0,0,0,0
'2016-12-27',2400,58,3095,84,1985,58,4500,6,2475,2,0,0
'2016-12-28',2206,80,2850,91,3500,32,4375,12,0,0,0,0
'2016-12-29',2300,74,2411,59,2639,55,5425,16,0,0,0,0
