date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-16',2710,4,0,0,0,0,0,0,0,0,0,0
'2016-12-17',2195,9,2800,1,0,0,0,0,0,0,0,0
'2016-12-19',2445,6,0,0,0,0,0,0,0,0,0,0
'2016-12-20',2695,7,2800,1,0,0,0,0,0,0,0,0
'2016-12-21',2345,13,2995,1,1183,1,0,0,0,0,0,0
'2016-12-22',2445,8,2800,1,0,0,0,0,0,0,0,0
'2016-12-23',2345,9,0,0,1067,1,0,0,0,0,0,0
'2016-12-24',2345,5,2895,1,0,0,0,0,0,0,0,0
'2016-12-25',0,0,2800,1,0,0,0,0,0,0,0,0
'2016-12-26',1900,1,0,0,0,0,0,0,0,0,0,0
'2016-12-27',4495,5,2800,1,0,0,0,0,0,0,0,0
'2016-12-28',2395,5,2895,1,0,0,0,0,0,0,0,0
'2016-12-29',2745,4,2800,1,0,0,0,0,0,0,0,0
'2016-12-30',2545,6,3295,2,0,0,0,0,0,0,0,0
'2016-12-31',2695,7,3695,1,0,0,0,0,0,0,0,0
