date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-19',1549,3,0,0,2500,5,4900,1,3120,1,0,0
'2016-12-20',1549,5,1906,2,2916,2,5500,1,0,0,0,0
'2016-12-21',1490,2,2263,1,3132,1,0,0,4250,1,0,0
'2016-12-22',1587,2,2289,1,3078,1,4500,2,3120,1,0,0
'2016-12-23',1679,4,1575,1,0,0,0,0,0,0,0,0
'2016-12-24',1571,1,2056,4,2475,2,3047,4,3500,3,0,0
'2016-12-25',1599,1,0,0,2591,2,0,0,0,0,0,0
'2016-12-26',950,2,0,0,2900,1,3000,1,0,0,0,0
'2016-12-27',1681,4,0,0,2250,3,2725,3,3500,1,0,0
'2016-12-28',1549,5,2343,2,2816,2,3825,2,0,0,0,0
'2016-12-29',1150,4,2281,4,2375,4,5500,1,3875,2,0,0
'2016-12-30',1785,1,2348,2,3950,1,2600,3,0,0,0,0
'2016-12-31',1549,3,2377,1,2700,1,4150,2,0,0,0,0
