date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1949,88,3000,30,2900,3,7500,1,0,0,0,0
'2016-12-16',1925,167,3052,48,3700,11,0,0,0,0,0,0
'2016-12-17',1925,186,3100,56,2900,1,0,0,0,0,0,0
'2016-12-18',1985,140,3099,59,4150,6,0,0,0,0,0,0
'2016-12-19',1898,69,2810,20,4260,3,6370,1,5250,1,0,0
'2016-12-20',1930,176,2952,48,3800,5,0,0,0,0,0,0
'2016-12-21',1900,184,3005,55,4150,1,0,0,0,0,5495,1
'2016-12-22',1949,145,2900,80,2847,10,0,0,3795,1,0,0
'2016-12-23',1999,145,3099,47,2900,6,0,0,0,0,0,0
'2016-12-24',1949,151,2998,40,3998,10,6370,2,0,0,0,0
'2016-12-25',1972,38,2990,17,4074,2,0,0,0,0,0,0
'2016-12-26',1998,19,3112,10,2795,1,0,0,0,0,0,0
'2016-12-27',1937,68,2865,21,4175,2,0,0,0,0,0,0
'2016-12-28',1988,172,2825,58,3600,3,4900,3,0,0,0,0
'2016-12-29',1988,184,2810,49,4099,2,0,0,5250,2,5495,2
'2016-12-30',1950,130,2998,75,3472,6,0,0,0,0,0,0
'2016-12-31',1999,141,2950,45,3600,6,0,0,3795,2,0,0
'2017-01-01',1998,38,2710,11,4074,4,0,0,0,0,0,0
'2017-01-02',1999,21,2995,13,0,0,0,0,0,0,0,0
'2017-01-03',1988,137,2892,58,4200,6,5635,4,3795,2,0,0
'2017-01-04',1998,161,2910,73,3511,2,0,0,5250,2,5495,2
'2017-01-05',1988,176,2875,63,3998,7,5400,1,0,0,0,0
'2017-01-06',1995,154,2875,67,3998,6,0,0,0,0,0,0
