date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1511,175,1775,202,2316,70,2007,6,2695,3,0,0
'2016-12-16',1465,215,1772,255,2100,63,2325,9,3600,4,0,0
'2016-12-17',1511,246,1751,260,2299,98,2925,13,2695,6,3200,1
'2016-12-18',1510,192,1846,195,2100,51,1850,12,2695,5,3600,2
'2016-12-19',1505,182,1787,175,2136,62,2075,18,2695,3,0,0
'2016-12-20',1519,208,1772,288,2046,59,2225,8,2695,4,3200,1
'2016-12-21',1517,237,1780,273,2274,87,1975,10,2695,4,0,0
'2016-12-22',1515,202,1772,285,2100,74,2195,20,2895,3,0,0
'2016-12-23',1500,205,1772,276,2000,55,2650,8,2397,2,3200,1
'2016-12-24',1510,179,1716,223,2117,62,1850,12,2325,1,0,0
