date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1800,9,2715,2,4200,3,0,0,0,0,6695,1
'2016-12-16',1775,7,2775,2,0,0,0,0,0,0,0,0
'2016-12-17',1950,7,2525,3,3775,3,0,0,0,0,6695,1
'2016-12-18',1747,8,0,0,0,0,5900,1,8000,1,0,0
'2016-12-19',1795,7,2715,4,3775,1,3250,1,0,0,0,0
'2016-12-20',1572,10,2400,1,4600,3,4050,1,0,0,6695,1
'2016-12-21',1787,6,2400,3,3775,1,3125,1,0,0,0,0
'2016-12-22',1650,11,2490,5,4850,1,4050,1,0,0,6695,1
'2016-12-23',1525,2,2530,1,2750,1,0,0,0,0,0,0
'2016-12-24',1925,7,2670,4,4312,2,3587,2,0,0,6695,1
'2016-12-25',1650,3,2450,1,0,0,0,0,0,0,0,0
'2016-12-26',1950,3,2697,2,3775,1,0,0,0,0,0,0
'2016-12-27',1847,8,2697,2,4424,2,4050,1,0,0,6695,1
'2016-12-28',1512,12,2530,7,3775,2,0,0,0,0,0,0
'2016-12-29',1847,8,2400,1,4850,1,4050,1,0,0,6695,1
'2016-12-30',1650,9,2445,6,3775,1,5900,1,0,0,0,0
'2016-12-31',1850,5,2250,1,3200,3,4225,2,0,0,6695,1
'2017-01-01',1950,2,2490,3,3850,3,0,0,0,0,0,0
'2017-01-02',1847,4,2995,1,0,0,0,0,0,0,0,0
'2017-01-03',1750,4,2400,1,5500,1,3125,1,0,0,0,0
