date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1247,6,1450,4,3300,7,0,0,0,0,0,0
'2016-12-16',1297,6,0,0,2400,2,0,0,0,0,2725,1
'2016-12-17',1300,8,1350,8,3150,1,0,0,0,0,0,0
'2016-12-18',929,8,2500,3,1925,3,0,0,0,0,0,0
'2016-12-19',850,3,1375,3,1500,1,0,0,0,0,2725,1
'2016-12-20',1104,6,1302,4,3210,2,0,0,0,0,0,0
'2016-12-21',952,10,1267,4,1925,5,0,0,0,0,0,0
'2016-12-22',966,3,1462,2,3300,3,0,0,0,0,2725,1
'2016-12-23',1252,6,2113,2,3120,3,0,0,0,0,0,0
'2016-12-24',999,9,1214,2,1925,4,0,0,0,0,0,0
'2016-12-25',1012,6,3110,1,0,0,2175,1,0,0,2725,1
'2016-12-26',0,0,0,0,3120,1,0,0,0,0,0,0
'2016-12-27',929,4,1350,3,1925,4,0,0,0,0,0,0
'2016-12-28',950,7,0,0,1850,1,0,0,0,0,2725,2
