date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1483,4,1491,2,2441,3,1650,1,2500,1,0,0
'2016-12-16',1430,9,1663,14,1888,3,1800,1,3300,1,0,0
'2016-12-17',1415,10,1739,7,1850,7,0,0,2895,1,0,0
'2016-12-18',1437,8,1772,14,2139,2,1650,1,0,0,0,0
'2016-12-19',1437,6,1772,7,1700,1,2137,2,2860,2,0,0
'2016-12-20',1456,9,1493,9,1775,7,2500,1,0,0,0,0
'2016-12-21',1250,5,1562,6,2127,2,1537,2,2250,2,0,0
'2016-12-22',1377,6,1678,6,1774,6,1725,2,2895,3,0,0
'2016-12-23',1445,9,1625,11,1818,4,2375,1,0,0,0,0
'2016-12-24',1337,8,1482,6,1848,7,2900,1,2612,2,0,0
'2016-12-25',1097,2,2110,2,2053,2,2150,2,2725,1,0,0
