date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1650,235,2255,193,2283,45,3500,7,1987,2,3600,1
'2016-12-16',1630,338,2395,205,2650,51,3850,13,3850,1,0,0
'2016-12-17',1550,340,2199,240,2225,38,3795,11,2775,2,6200,2
'2016-12-18',1805,286,2447,204,2200,43,3195,11,2325,1,0,0
'2016-12-19',1763,234,2443,216,2945,24,3200,7,3550,3,0,0
'2016-12-20',1641,318,2144,220,2450,60,3950,12,2000,3,2900,2
'2016-12-21',1645,305,2240,231,2925,40,4200,9,3050,4,0,0
'2016-12-22',1715,287,2160,231,2213,69,3050,10,0,0,0,0
'2016-12-23',1665,294,2585,217,2327,50,3812,2,1650,2,2900,2
'2016-12-24',1695,283,2250,164,2525,53,3647,8,2600,3,0,0
'2016-12-25',1550,298,2495,158,2580,31,2997,4,0,0,0,0
'2016-12-26',1478,164,2325,67,2500,27,3125,3,2575,4,0,0
'2016-12-27',1710,206,2341,181,2400,48,2600,8,2325,3,2900,1
'2016-12-28',1625,289,2299,194,2213,46,3400,9,11550,4,0,0
'2016-12-29',1750,301,2270,209,2450,63,4072,10,3047,4,0,0
'2016-12-30',1700,309,2317,224,2540,67,3750,13,2325,5,2900,1
'2016-12-31',1550,294,2270,177,2347,40,4247,8,3097,4,0,0
'2017-01-01',1671,177,2495,113,2435,31,3812,4,0,0,0,0
'2017-01-02',1471,153,2200,79,2467,34,3685,7,3575,2,2900,2
'2017-01-03',1707,283,2330,209,2297,52,5000,7,4080,2,0,0
'2017-01-04',1816,316,2341,201,2400,51,3125,17,3747,4,3600,1
'2017-01-05',1800,294,2418,222,2690,54,3772,8,0,0,0,0
'2017-01-06',1707,304,2218,190,2282,64,4100,14,4900,1,0,0
