date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',926,50,1006,74,1472,4,0,0,0,0,0,0
'2016-12-16',926,21,988,33,1370,2,0,0,0,0,0,0
'2016-12-17',865,25,1025,38,1370,1,0,0,0,0,0,0
'2016-12-18',917,14,1031,26,1575,1,0,0,0,0,0,0
'2016-12-19',875,1,875,3,0,0,0,0,0,0,0,0
'2016-12-20',879,6,1295,3,1370,2,0,0,0,0,0,0
'2016-12-21',0,0,1120,2,1575,2,0,0,0,0,0,0
'2016-12-22',1275,3,1320,4,1370,1,0,0,0,0,0,0
'2016-12-23',764,3,1205,2,1370,2,0,0,0,0,0,0
'2016-12-24',1422,2,1120,4,1575,3,0,0,0,0,0,0
'2016-12-25',1075,2,1710,2,0,0,0,0,0,0,0,0
'2016-12-26',908,7,988,5,0,0,0,0,0,0,0,0
