date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1200,1,1775,1,2000,3,0,0,0,0,0,0
'2016-12-16',0,0,1887,2,0,0,0,0,0,0,0,0
'2016-12-17',1045,3,0,0,2850,1,0,0,0,0,0,0
'2016-12-18',1125,2,0,0,2237,2,0,0,0,0,0,0
'2016-12-19',1050,1,2281,2,0,0,0,0,0,0,0,0
'2016-12-20',1120,3,0,0,2447,2,0,0,0,0,0,0
'2016-12-21',1145,2,2000,1,1900,1,0,0,0,0,0,0
'2016-12-22',1050,1,2300,1,0,0,0,0,0,0,0,0
'2016-12-23',800,3,0,0,1688,2,0,0,0,0,0,0
'2016-12-24',1145,2,2000,1,2645,1,0,0,0,0,0,0
'2016-12-25',0,0,2300,1,0,0,0,0,0,0,0,0
'2016-12-26',945,4,1500,1,2200,3,0,0,0,0,0,0
'2016-12-27',1200,1,0,0,0,0,0,0,0,0,0,0
'2016-12-28',0,0,2300,1,0,0,0,0,0,0,0,0
'2016-12-29',945,2,1492,2,2422,4,0,0,0,0,0,0
'2016-12-30',1200,1,2197,2,0,0,0,0,0,0,0,0
'2016-12-31',1090,1,2250,2,1900,1,0,0,0,0,0,0
'2017-01-01',0,0,2188,1,1177,1,0,0,0,0,0,0
'2017-01-02',0,0,0,0,2525,2,0,0,0,0,0,0
'2017-01-03',1090,3,2200,1,2900,2,0,0,0,0,0,0
'2017-01-04',0,0,1950,2,1737,3,0,0,0,0,0,0
'2017-01-05',1090,1,2199,3,2850,1,0,0,0,0,0,0
'2017-01-06',1122,2,1537,2,3000,1,0,0,0,0,0,0
