date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1200,1,1775,1,1950,4,0,0,0,0,0,0
'2016-12-16',0,0,1887,2,0,0,0,0,0,0,0,0
'2016-12-17',1120,5,0,0,2850,1,0,0,0,0,0,0
'2016-12-18',1125,2,0,0,2237,2,0,0,0,0,0,0
'2016-12-19',1190,3,2281,2,0,0,0,0,0,0,0,0
'2016-12-20',1120,5,0,0,2447,2,0,0,0,0,0,0
'2016-12-21',1195,4,2000,1,1900,1,0,0,0,0,0,0
'2016-12-22',1290,5,2300,1,0,0,0,0,0,0,0,0
'2016-12-23',800,3,0,0,1688,2,2825,2,0,0,0,0
'2016-12-24',1245,4,2000,1,2645,1,0,0,0,0,0,0
