date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1600,1,0,0,1799,5,0,0,0,0,0,0
'2016-12-16',1348,4,1765,3,2100,5,0,0,0,0,0,0
'2016-12-17',0,0,0,0,2100,9,3500,1,0,0,0,0
'2016-12-18',1348,2,1765,1,2100,7,0,0,0,0,0,0
'2016-12-19',1348,1,0,0,2100,3,2495,1,0,0,0,0
'2016-12-20',1348,3,0,0,1799,6,2575,1,0,0,0,0
'2016-12-21',1348,2,1765,1,2100,10,0,0,0,0,0,0
'2016-12-22',1348,3,0,0,1850,9,2522,2,0,0,0,0
'2016-12-23',0,0,1765,1,2100,3,0,0,0,0,0,0
'2016-12-24',1538,1,0,0,1799,3,3500,1,0,0,0,0
'2016-12-25',0,0,1798,2,2100,3,0,0,0,0,0,0
'2016-12-26',0,0,0,0,2100,2,0,0,0,0,0,0
'2016-12-27',1365,3,1798,2,2100,12,2522,2,0,0,0,0
'2016-12-28',1348,2,0,0,2100,2,0,0,0,0,0,0
'2016-12-29',0,0,0,0,2100,3,2575,1,0,0,0,0
'2016-12-30',0,0,0,0,2100,3,0,0,0,0,0,0
'2016-12-31',0,0,0,0,2100,5,0,0,0,0,0,0
